time_step, rms_u, rms_v, rms_w, rms_p
83, 4.66990E-01, 7.80382E-01, 6.63035E-01, 4.62196E-01
84, 4.67286E-01, 7.77967E-01, 6.63353E-01, 4.62341E-01
85, 4.67561E-01, 7.75546E-01, 6.63672E-01, 4.62489E-01
86, 4.67815E-01, 7.73119E-01, 6.63991E-01, 4.62635E-01
87, 4.68052E-01, 7.70686E-01, 6.64311E-01, 4.62773E-01
88, 4.68271E-01, 7.68250E-01, 6.64630E-01, 4.62898E-01
89, 4.68474E-01, 7.65809E-01, 6.64948E-01, 4.63003E-01
90, 4.68664E-01, 7.63367E-01, 6.65266E-01, 4.63084E-01
91, 4.68841E-01, 7.60922E-01, 6.65583E-01, 4.63136E-01
92, 4.69007E-01, 7.58477E-01, 6.65899E-01, 4.63155E-01
93, 4.69162E-01, 7.56032E-01, 6.66212E-01, 4.63137E-01
94, 4.69309E-01, 7.53588E-01, 6.66522E-01, 4.63078E-01
95, 4.69449E-01, 7.51146E-01, 6.66828E-01, 4.62977E-01
96, 4.69582E-01, 7.48707E-01, 6.67130E-01, 4.62831E-01
97, 4.69708E-01, 7.46272E-01, 6.67426E-01, 4.62639E-01
98, 4.69831E-01, 7.43841E-01, 6.67715E-01, 4.62400E-01
99, 4.69948E-01, 7.41417E-01, 6.67996E-01, 4.62115E-01
100, 4.70063E-01, 7.38998E-01, 6.68268E-01, 4.61784E-01
101, 4.70174E-01, 7.36586E-01, 6.68530E-01, 4.61407E-01
102, 4.70284E-01, 7.34182E-01, 6.68781E-01, 4.60987E-01
103, 4.70391E-01, 7.31786E-01, 6.69019E-01, 4.60525E-01
104, 4.70497E-01, 7.29398E-01, 6.69244E-01, 4.60024E-01
105, 4.70603E-01, 7.27018E-01, 6.69454E-01, 4.59485E-01
106, 4.70708E-01, 7.24648E-01, 6.69649E-01, 4.58913E-01
107, 4.70814E-01, 7.22286E-01, 6.69827E-01, 4.58310E-01
108, 4.70920E-01, 7.19933E-01, 6.69988E-01, 4.57680E-01
109, 4.71027E-01, 7.17589E-01, 6.70131E-01, 4.57026E-01
110, 4.71135E-01, 7.15254E-01, 6.70256E-01, 4.56353E-01
111, 4.71246E-01, 7.12927E-01, 6.70360E-01, 4.55663E-01
112, 4.71359E-01, 7.10609E-01, 6.70445E-01, 4.54962E-01
113, 4.71476E-01, 7.08299E-01, 6.70508E-01, 4.54253E-01
114, 4.71596E-01, 7.05997E-01, 6.70550E-01, 4.53539E-01
115, 4.71720E-01, 7.03702E-01, 6.70571E-01, 4.52825E-01
116, 4.71849E-01, 7.01415E-01, 6.70569E-01, 4.52114E-01
117, 4.71983E-01, 6.99134E-01, 6.70544E-01, 4.51408E-01
118, 4.72122E-01, 6.96861E-01, 6.70496E-01, 4.50712E-01
119, 4.72267E-01, 6.94594E-01, 6.70424E-01, 4.50027E-01
120, 4.72419E-01, 6.92333E-01, 6.70329E-01, 4.49355E-01
121, 4.72577E-01, 6.90079E-01, 6.70210E-01, 4.48698E-01
122, 4.72742E-01, 6.87831E-01, 6.70067E-01, 4.48057E-01
123, 4.72914E-01, 6.85589E-01, 6.69900E-01, 4.47433E-01
124, 4.73093E-01, 6.83354E-01, 6.69709E-01, 4.46826E-01
125, 4.73279E-01, 6.81124E-01, 6.69493E-01, 4.46236E-01
126, 4.73473E-01, 6.78901E-01, 6.69254E-01, 4.45662E-01
127, 4.73673E-01, 6.76685E-01, 6.68991E-01, 4.45102E-01
128, 4.73880E-01, 6.74475E-01, 6.68704E-01, 4.44556E-01
129, 4.74094E-01, 6.72272E-01, 6.68393E-01, 4.44021E-01
130, 4.74314E-01, 6.70077E-01, 6.68058E-01, 4.43496E-01
131, 4.74540E-01, 6.67890E-01, 6.67700E-01, 4.42977E-01
132, 4.74772E-01, 6.65711E-01, 6.67319E-01, 4.42462E-01
133, 4.75009E-01, 6.63541E-01, 6.66915E-01, 4.41948E-01
134, 4.75250E-01, 6.61380E-01, 6.66487E-01, 4.41432E-01
135, 4.75495E-01, 6.59229E-01, 6.66037E-01, 4.40911E-01
136, 4.75744E-01, 6.57088E-01, 6.65564E-01, 4.40382E-01
137, 4.75997E-01, 6.54959E-01, 6.65069E-01, 4.39841E-01
138, 4.76252E-01, 6.52842E-01, 6.64551E-01, 4.39286E-01
139, 4.76509E-01, 6.50736E-01, 6.64011E-01, 4.38714E-01
140, 4.76768E-01, 6.48644E-01, 6.63449E-01, 4.38122E-01
141, 4.77029E-01, 6.46566E-01, 6.62865E-01, 4.37508E-01
142, 4.77290E-01, 6.44503E-01, 6.62260E-01, 4.36869E-01
143, 4.77552E-01, 6.42454E-01, 6.61633E-01, 4.36202E-01
144, 4.77814E-01, 6.40422E-01, 6.60985E-01, 4.35506E-01
145, 4.78076E-01, 6.38406E-01, 6.60316E-01, 4.34779E-01
146, 4.78337E-01, 6.36408E-01, 6.59626E-01, 4.34019E-01
147, 4.78596E-01, 6.34427E-01, 6.58916E-01, 4.33225E-01
148, 4.78855E-01, 6.32465E-01, 6.58185E-01, 4.32395E-01
149, 4.79111E-01, 6.30522E-01, 6.57436E-01, 4.31528E-01
150, 4.79364E-01, 6.28598E-01, 6.56667E-01, 4.30624E-01
151, 4.79614E-01, 6.26694E-01, 6.55879E-01, 4.29682E-01
152, 4.79861E-01, 6.24811E-01, 6.55074E-01, 4.28701E-01
153, 4.80104E-01, 6.22949E-01, 6.54252E-01, 4.27681E-01
154, 4.80342E-01, 6.21108E-01, 6.53413E-01, 4.26621E-01
155, 4.80574E-01, 6.19288E-01, 6.52558E-01, 4.25521E-01
156, 4.80801E-01, 6.17489E-01, 6.51689E-01, 4.24382E-01
157, 4.81022E-01, 6.15712E-01, 6.50806E-01, 4.23203E-01
158, 4.81235E-01, 6.13957E-01, 6.49910E-01, 4.21985E-01
159, 4.81441E-01, 6.12223E-01, 6.49004E-01, 4.20727E-01
160, 4.81638E-01, 6.10510E-01, 6.48088E-01, 4.19431E-01
161, 4.81827E-01, 6.08818E-01, 6.47163E-01, 4.18097E-01
162, 4.82006E-01, 6.07147E-01, 6.46232E-01, 4.16725E-01
163, 4.82176E-01, 6.05497E-01, 6.45296E-01, 4.15316E-01
164, 4.82335E-01, 6.03866E-01, 6.44356E-01, 4.13871E-01
165, 4.82483E-01, 6.02255E-01, 6.43415E-01, 4.12390E-01
166, 4.82621E-01, 6.00663E-01, 6.42475E-01, 4.10875E-01
167, 4.82747E-01, 5.99088E-01, 6.41538E-01, 4.09326E-01
168, 4.82861E-01, 5.97531E-01, 6.40605E-01, 4.07745E-01
169, 4.82964E-01, 5.95991E-01, 6.39680E-01, 4.06132E-01
170, 4.83054E-01, 5.94466E-01, 6.38763E-01, 4.04488E-01
171, 4.83134E-01, 5.92956E-01, 6.37858E-01, 4.02816E-01
172, 4.83202E-01, 5.91459E-01, 6.36966E-01, 4.01116E-01
173, 4.83258E-01, 5.89976E-01, 6.36090E-01, 3.99389E-01
174, 4.83304E-01, 5.88505E-01, 6.35231E-01, 3.97637E-01
175, 4.83339E-01, 5.87044E-01, 6.34392E-01, 3.95862E-01
176, 4.83364E-01, 5.85594E-01, 6.33574E-01, 3.94064E-01
177, 4.83380E-01, 5.84152E-01, 6.32779E-01, 3.92246E-01
178, 4.83386E-01, 5.82719E-01, 6.32008E-01, 3.90409E-01
179, 4.83385E-01, 5.81292E-01, 6.31263E-01, 3.88554E-01
180, 4.83376E-01, 5.79872E-01, 6.30545E-01, 3.86683E-01
181, 4.83359E-01, 5.78457E-01, 6.29854E-01, 3.84797E-01
182, 4.83336E-01, 5.77046E-01, 6.29192E-01, 3.82899E-01
183, 4.83306E-01, 5.75638E-01, 6.28558E-01, 3.80989E-01
184, 4.83271E-01, 5.74234E-01, 6.27952E-01, 3.79070E-01
185, 4.83231E-01, 5.72831E-01, 6.27376E-01, 3.77143E-01
186, 4.83186E-01, 5.71429E-01, 6.26828E-01, 3.75209E-01
187, 4.83135E-01, 5.70029E-01, 6.26309E-01, 3.73271E-01
188, 4.83080E-01, 5.68628E-01, 6.25817E-01, 3.71330E-01
189, 4.83020E-01, 5.67227E-01, 6.25352E-01, 3.69387E-01
190, 4.82956E-01, 5.65825E-01, 6.24913E-01, 3.67444E-01
191, 4.82886E-01, 5.64423E-01, 6.24499E-01, 3.65502E-01
192, 4.82811E-01, 5.63018E-01, 6.24110E-01, 3.63564E-01
193, 4.82730E-01, 5.61612E-01, 6.23744E-01, 3.61630E-01
194, 4.82644E-01, 5.60204E-01, 6.23401E-01, 3.59702E-01
195, 4.82551E-01, 5.58793E-01, 6.23079E-01, 3.57782E-01
196, 4.82450E-01, 5.57380E-01, 6.22777E-01, 3.55872E-01
197, 4.82343E-01, 5.55964E-01, 6.22495E-01, 3.53971E-01
198, 4.82227E-01, 5.54546E-01, 6.22231E-01, 3.52083E-01
199, 4.82103E-01, 5.53124E-01, 6.21984E-01, 3.50207E-01
200, 4.81969E-01, 5.51700E-01, 6.21755E-01, 3.48346E-01
201, 4.81825E-01, 5.50273E-01, 6.21541E-01, 3.46501E-01
202, 4.81671E-01, 5.48843E-01, 6.21342E-01, 3.44672E-01
203, 4.81506E-01, 5.47410E-01, 6.21157E-01, 3.42861E-01
204, 4.81329E-01, 5.45974E-01, 6.20987E-01, 3.41068E-01
205, 4.81139E-01, 5.44535E-01, 6.20829E-01, 3.39295E-01
206, 4.80937E-01, 5.43093E-01, 6.20684E-01, 3.37542E-01
207, 4.80721E-01, 5.41648E-01, 6.20551E-01, 3.35809E-01
208, 4.80491E-01, 5.40201E-01, 6.20430E-01, 3.34097E-01
209, 4.80247E-01, 5.38751E-01, 6.20320E-01, 3.32407E-01
210, 4.79987E-01, 5.37298E-01, 6.20220E-01, 3.30738E-01
211, 4.79711E-01, 5.35843E-01, 6.20131E-01, 3.29091E-01
212, 4.79420E-01, 5.34386E-01, 6.20052E-01, 3.27465E-01
213, 4.79112E-01, 5.32927E-01, 6.19983E-01, 3.25860E-01
214, 4.78787E-01, 5.31466E-01, 6.19923E-01, 3.24277E-01
215, 4.78444E-01, 5.30004E-01, 6.19873E-01, 3.22714E-01
216, 4.78083E-01, 5.28541E-01, 6.19831E-01, 3.21170E-01
217, 4.77705E-01, 5.27077E-01, 6.19799E-01, 3.19646E-01
218, 4.77307E-01, 5.25612E-01, 6.19774E-01, 3.18141E-01
219, 4.76891E-01, 5.24147E-01, 6.19758E-01, 3.16653E-01
220, 4.76455E-01, 5.22683E-01, 6.19750E-01, 3.15182E-01
221, 4.75999E-01, 5.21219E-01, 6.19749E-01, 3.13726E-01
222, 4.75524E-01, 5.19757E-01, 6.19756E-01, 3.12286E-01
223, 4.75029E-01, 5.18297E-01, 6.19770E-01, 3.10859E-01
224, 4.74513E-01, 5.16839E-01, 6.19792E-01, 3.09445E-01
225, 4.73976E-01, 5.15384E-01, 6.19820E-01, 3.08043E-01
226, 4.73418E-01, 5.13933E-01, 6.19854E-01, 3.06653E-01
227, 4.72840E-01, 5.12486E-01, 6.19895E-01, 3.05272E-01
228, 4.72240E-01, 5.11044E-01, 6.19942E-01, 3.03901E-01
229, 4.71619E-01, 5.09609E-01, 6.19995E-01, 3.02539E-01
230, 4.70977E-01, 5.08179E-01, 6.20053E-01, 3.01186E-01
231, 4.70313E-01, 5.06757E-01, 6.20117E-01, 2.99840E-01
232, 4.69628E-01, 5.05343E-01, 6.20185E-01, 2.98501E-01
233, 4.68921E-01, 5.03939E-01, 6.20259E-01, 2.97171E-01
234, 4.68193E-01, 5.02543E-01, 6.20337E-01, 2.95847E-01
235, 4.67445E-01, 5.01159E-01, 6.20419E-01, 2.94531E-01
236, 4.66675E-01, 4.99785E-01, 6.20505E-01, 2.93222E-01
237, 4.65884E-01, 4.98424E-01, 6.20595E-01, 2.91922E-01
238, 4.65073E-01, 4.97076E-01, 6.20688E-01, 2.90630E-01
239, 4.64242E-01, 4.95742E-01, 6.20784E-01, 2.89347E-01
240, 4.63392E-01, 4.94422E-01, 6.20883E-01, 2.88074E-01
241, 4.62522E-01, 4.93117E-01, 6.20984E-01, 2.86812E-01
242, 4.61634E-01, 4.91828E-01, 6.21088E-01, 2.85561E-01
243, 4.60727E-01, 4.90556E-01, 6.21193E-01, 2.84322E-01
244, 4.59803E-01, 4.89301E-01, 6.21300E-01, 2.83096E-01
245, 4.58862E-01, 4.88064E-01, 6.21408E-01, 2.81885E-01
246, 4.57905E-01, 4.86846E-01, 6.21518E-01, 2.80688E-01
247, 4.56932E-01, 4.85646E-01, 6.21628E-01, 2.79508E-01
248, 4.55945E-01, 4.84466E-01, 6.21738E-01, 2.78344E-01
249, 4.54944E-01, 4.83306E-01, 6.21849E-01, 2.77199E-01
250, 4.53931E-01, 4.82166E-01, 6.21959E-01, 2.76072E-01
251, 4.52904E-01, 4.81046E-01, 6.22069E-01, 2.74964E-01
252, 4.51867E-01, 4.79947E-01, 6.22178E-01, 2.73875E-01
253, 4.50819E-01, 4.78869E-01, 6.22287E-01, 2.72807E-01
254, 4.49762E-01, 4.77812E-01, 6.22394E-01, 2.71760E-01
255, 4.48696E-01, 4.76777E-01, 6.22499E-01, 2.70733E-01
256, 4.47622E-01, 4.75763E-01, 6.22603E-01, 2.69728E-01
257, 4.46542E-01, 4.74770E-01, 6.22706E-01, 2.68744E-01
258, 4.45455E-01, 4.73798E-01, 6.22806E-01, 2.67780E-01
259, 4.44362E-01, 4.72848E-01, 6.22904E-01, 2.66837E-01
260, 4.43265E-01, 4.71920E-01, 6.23000E-01, 2.65915E-01
261, 4.42164E-01, 4.71013E-01, 6.23093E-01, 2.65013E-01
262, 4.41060E-01, 4.70127E-01, 6.23183E-01, 2.64130E-01
263, 4.39954E-01, 4.69262E-01, 6.23271E-01, 2.63266E-01
264, 4.38845E-01, 4.68418E-01, 6.23355E-01, 2.62421E-01
265, 4.37734E-01, 4.67595E-01, 6.23437E-01, 2.61593E-01
266, 4.36623E-01, 4.66793E-01, 6.23515E-01, 2.60782E-01
267, 4.35511E-01, 4.66012E-01, 6.23590E-01, 2.59986E-01
268, 4.34399E-01, 4.65252E-01, 6.23662E-01, 2.59206E-01
269, 4.33287E-01, 4.64512E-01, 6.23730E-01, 2.58440E-01
270, 4.32175E-01, 4.63793E-01, 6.23795E-01, 2.57688E-01
271, 4.31065E-01, 4.63094E-01, 6.23855E-01, 2.56948E-01
272, 4.29955E-01, 4.62416E-01, 6.23912E-01, 2.56220E-01
273, 4.28845E-01, 4.61758E-01, 6.23965E-01, 2.55503E-01
274, 4.27737E-01, 4.61121E-01, 6.24014E-01, 2.54796E-01
275, 4.26630E-01, 4.60505E-01, 6.24059E-01, 2.54098E-01
276, 4.25524E-01, 4.59909E-01, 6.24099E-01, 2.53409E-01
277, 4.24419E-01, 4.59333E-01, 6.24135E-01, 2.52728E-01
278, 4.23315E-01, 4.58779E-01, 6.24166E-01, 2.52054E-01
279, 4.22211E-01, 4.58245E-01, 6.24193E-01, 2.51387E-01
280, 4.21108E-01, 4.57733E-01, 6.24215E-01, 2.50726E-01
281, 4.20005E-01, 4.57241E-01, 6.24232E-01, 2.50070E-01
282, 4.18902E-01, 4.56771E-01, 6.24244E-01, 2.49420E-01
283, 4.17799E-01, 4.56322E-01, 6.24252E-01, 2.48774E-01
284, 4.16696E-01, 4.55895E-01, 6.24254E-01, 2.48132E-01
285, 4.15592E-01, 4.55489E-01, 6.24251E-01, 2.47495E-01
286, 4.14487E-01, 4.55105E-01, 6.24244E-01, 2.46861E-01
287, 4.13381E-01, 4.54743E-01, 6.24231E-01, 2.46230E-01
288, 4.12274E-01, 4.54403E-01, 6.24214E-01, 2.45603E-01
289, 4.11166E-01, 4.54086E-01, 6.24192E-01, 2.44978E-01
290, 4.10055E-01, 4.53790E-01, 6.24165E-01, 2.44356E-01
291, 4.08943E-01, 4.53517E-01, 6.24133E-01, 2.43737E-01
