time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
42, 1.58977E-05, 1.02041E-05, 5.44297E-06, 4.51496E-06, 5.92169E-07, 4.68040E-07, 3.71966E-07, 4.01278E-07
43, 1.59604E-05, 1.02074E-05, 5.44374E-06, 4.52652E-06, 5.91645E-07, 4.67739E-07, 3.71666E-07, 4.03094E-07
44, 1.60216E-05, 1.02102E-05, 5.44395E-06, 4.53786E-06, 5.91129E-07, 4.67443E-07, 3.71366E-07, 4.04993E-07
45, 1.60814E-05, 1.02124E-05, 5.44357E-06, 4.54898E-06, 5.90615E-07, 4.67150E-07, 3.71066E-07, 4.06977E-07
46, 1.61396E-05, 1.02141E-05, 5.44262E-06, 4.55988E-06, 5.90105E-07, 4.66861E-07, 3.70766E-07, 4.09038E-07
47, 1.61963E-05, 1.02153E-05, 5.44110E-06, 4.57057E-06, 5.89599E-07, 4.66576E-07, 3.70467E-07, 4.11179E-07
48, 1.62515E-05, 1.02160E-05, 5.43899E-06, 4.58103E-06, 5.89097E-07, 4.66293E-07, 3.70172E-07, 4.13400E-07
49, 1.63052E-05, 1.02161E-05, 5.43631E-06, 4.59126E-06, 5.88594E-07, 4.66013E-07, 3.69878E-07, 4.15704E-07
50, 1.63574E-05, 1.02158E-05, 5.43304E-06, 4.60128E-06, 5.88079E-07, 4.65738E-07, 3.69584E-07, 4.18083E-07
51, 1.64080E-05, 1.02149E-05, 5.42920E-06, 4.61106E-06, 5.87561E-07, 4.65460E-07, 3.69294E-07, 4.20535E-07
52, 1.64571E-05, 1.02134E-05, 5.42478E-06, 4.62062E-06, 5.87054E-07, 4.65187E-07, 3.69005E-07, 4.23054E-07
53, 1.65046E-05, 1.02115E-05, 5.41978E-06, 4.62995E-06, 5.86548E-07, 4.64915E-07, 3.68714E-07, 4.25642E-07
54, 1.65506E-05, 1.02090E-05, 5.41420E-06, 4.63905E-06, 5.86035E-07, 4.64639E-07, 3.68421E-07, 4.28292E-07
55, 1.65950E-05, 1.02084E-05, 5.40803E-06, 4.64792E-06, 5.85514E-07, 4.64361E-07, 3.68128E-07, 4.31008E-07
56, 1.66379E-05, 1.02074E-05, 5.40129E-06, 4.65656E-06, 5.85002E-07, 4.64080E-07, 3.67834E-07, 4.33790E-07
57, 1.66791E-05, 1.02256E-05, 5.39397E-06, 4.66496E-06, 5.84494E-07, 4.63799E-07, 3.67541E-07, 4.36640E-07
