time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 2.56004E-04, 1.54075E-04, 1.35465E-04, 8.03919E-03, 1.01392E-05, 8.06080E-06, 6.65714E-06, 1.20249E-03
2, 4.58711E-04, 3.09958E-04, 1.85054E-04, 7.96953E-03, 1.96046E-05, 1.53477E-05, 1.22934E-05, 1.21253E-03
3, 6.83754E-04, 4.67708E-04, 2.74706E-04, 7.96850E-03, 2.93257E-05, 2.29576E-05, 1.84087E-05, 1.21935E-03
4, 9.04097E-04, 6.24412E-04, 3.61730E-04, 7.93337E-03, 3.90022E-05, 3.05373E-05, 2.44948E-05, 1.22688E-03
5, 1.11844E-03, 7.81701E-04, 4.45611E-04, 7.89896E-03, 4.86250E-05, 3.80750E-05, 3.05591E-05, 1.23445E-03
6, 1.34057E-03, 9.38620E-04, 5.25847E-04, 7.86494E-03, 5.81942E-05, 4.55769E-05, 3.66005E-05, 1.24136E-03
7, 1.56370E-03, 1.09466E-03, 6.01948E-04, 7.83155E-03, 6.77108E-05, 5.30423E-05, 4.26163E-05, 1.24769E-03
8, 1.79998E-03, 1.24937E-03, 6.90580E-04, 7.79882E-03, 7.71735E-05, 6.04690E-05, 4.86114E-05, 1.25351E-03
9, 2.05062E-03, 1.40227E-03, 7.81112E-04, 7.76681E-03, 8.65800E-05, 6.78599E-05, 5.45864E-05, 1.25876E-03
10, 2.30305E-03, 1.55292E-03, 8.71074E-04, 7.73560E-03, 9.59440E-05, 7.52125E-05, 6.05429E-05, 1.26334E-03
11, 2.55607E-03, 1.70086E-03, 9.59991E-04, 7.70525E-03, 1.05262E-04, 8.25244E-05, 6.64774E-05, 1.26722E-03
12, 2.80846E-03, 1.84565E-03, 1.04738E-03, 7.67584E-03, 1.14529E-04, 8.98018E-05, 7.23835E-05, 1.27034E-03
13, 3.05899E-03, 1.98685E-03, 1.13277E-03, 7.64742E-03, 1.23738E-04, 9.70555E-05, 7.82693E-05, 1.27266E-03
14, 3.30646E-03, 2.16089E-03, 1.21566E-03, 7.62007E-03, 1.32894E-04, 1.04277E-04, 8.41337E-05, 1.27415E-03
15, 3.54970E-03, 2.34012E-03, 1.29559E-03, 7.59386E-03, 1.42003E-04, 1.11467E-04, 8.99771E-05, 1.27484E-03
16, 3.78755E-03, 2.52041E-03, 1.37208E-03, 7.56885E-03, 1.51039E-04, 1.18621E-04, 9.57965E-05, 1.27467E-03
17, 4.03960E-03, 2.70130E-03, 1.44467E-03, 7.54512E-03, 1.60009E-04, 1.25741E-04, 1.01592E-04, 1.27361E-03
18, 4.32789E-03, 2.88234E-03, 1.51289E-03, 7.52272E-03, 1.68932E-04, 1.32825E-04, 1.07367E-04, 1.27165E-03
19, 4.61460E-03, 3.06305E-03, 1.57631E-03, 7.50172E-03, 1.77814E-04, 1.39877E-04, 1.13128E-04, 1.26877E-03
20, 4.89854E-03, 3.24297E-03, 1.63450E-03, 7.48220E-03, 1.86641E-04, 1.46897E-04, 1.18870E-04, 1.26498E-03
21, 5.17855E-03, 3.42164E-03, 1.68705E-03, 7.46420E-03, 1.95431E-04, 1.53874E-04, 1.24592E-04, 1.26027E-03
22, 5.45350E-03, 3.59859E-03, 1.73356E-03, 7.44779E-03, 2.04182E-04, 1.60820E-04, 1.30305E-04, 1.25472E-03
23, 5.72228E-03, 3.77336E-03, 1.80351E-03, 7.43305E-03, 2.12879E-04, 1.67739E-04, 1.36009E-04, 1.24827E-03
24, 6.06430E-03, 3.94547E-03, 1.88055E-03, 7.42001E-03, 2.21537E-04, 1.74630E-04, 1.41686E-04, 1.24110E-03
25, 6.42257E-03, 4.11449E-03, 1.95353E-03, 7.40875E-03, 2.30128E-04, 1.81492E-04, 1.47332E-04, 1.23316E-03
26, 6.77823E-03, 4.27994E-03, 2.02199E-03, 7.39931E-03, 2.38679E-04, 1.88326E-04, 1.52959E-04, 1.22462E-03
27, 7.12981E-03, 4.44138E-03, 2.08542E-03, 7.39175E-03, 2.47199E-04, 1.95124E-04, 1.58557E-04, 1.21560E-03
28, 7.47589E-03, 4.59838E-03, 2.14338E-03, 7.38613E-03, 2.55666E-04, 2.01902E-04, 1.64141E-04, 1.20616E-03
29, 7.81504E-03, 4.75051E-03, 2.19541E-03, 7.39907E-03, 2.64082E-04, 2.08651E-04, 1.69706E-04, 1.19646E-03
30, 8.14587E-03, 4.89734E-03, 2.24108E-03, 7.41811E-03, 2.72448E-04, 2.15356E-04, 1.75234E-04, 1.18664E-03
31, 8.46703E-03, 5.03846E-03, 2.28000E-03, 7.43913E-03, 2.80778E-04, 2.22027E-04, 1.80737E-04, 1.17690E-03
32, 8.77720E-03, 5.17348E-03, 2.31659E-03, 7.46215E-03, 2.89043E-04, 2.28662E-04, 1.86227E-04, 1.16745E-03
33, 9.07512E-03, 5.30201E-03, 2.39881E-03, 7.48722E-03, 2.97289E-04, 2.35273E-04, 1.91716E-04, 1.15849E-03
34, 9.35954E-03, 5.42368E-03, 2.47697E-03, 7.51438E-03, 3.05530E-04, 2.41864E-04, 1.97205E-04, 1.15026E-03
35, 9.62932E-03, 5.53815E-03, 2.55073E-03, 7.54364E-03, 3.13732E-04, 2.48441E-04, 2.02673E-04, 1.14298E-03
36, 9.96633E-03, 5.64506E-03, 2.61976E-03, 7.57503E-03, 3.21884E-04, 2.54984E-04, 2.08131E-04, 1.13703E-03
37, 1.03687E-02, 5.79523E-03, 2.68374E-03, 7.60858E-03, 3.30039E-04, 2.61510E-04, 2.13564E-04, 1.13301E-03
38, 1.07686E-02, 6.00116E-03, 2.74404E-03, 7.64430E-03, 3.38171E-04, 2.68020E-04, 2.18977E-04, 1.13134E-03
39, 1.11652E-02, 6.20473E-03, 2.80620E-03, 7.68221E-03, 3.46235E-04, 2.74477E-04, 2.24363E-04, 1.13243E-03
40, 1.15572E-02, 6.40553E-03, 2.88243E-03, 7.76737E-03, 3.54229E-04, 2.80876E-04, 2.29719E-04, 1.13656E-03
41, 1.20780E-02, 6.60309E-03, 2.95748E-03, 7.93831E-03, 3.62127E-04, 2.87261E-04, 2.35091E-04, 1.14408E-03
42, 1.26301E-02, 6.79698E-03, 3.02631E-03, 8.10868E-03, 3.69966E-04, 2.93608E-04, 2.40474E-04, 1.15545E-03
43, 1.31859E-02, 6.98677E-03, 3.08840E-03, 8.27829E-03, 3.77713E-04, 2.99923E-04, 2.45822E-04, 1.17073E-03
44, 1.37441E-02, 7.17202E-03, 3.14324E-03, 8.44694E-03, 3.85358E-04, 3.06227E-04, 2.51152E-04, 1.19040E-03
45, 1.43034E-02, 7.35230E-03, 3.21411E-03, 8.61443E-03, 3.92990E-04, 3.12515E-04, 2.56461E-04, 1.21478E-03
46, 1.48626E-02, 7.52720E-03, 3.29909E-03, 8.78055E-03, 4.00633E-04, 3.18771E-04, 2.61750E-04, 1.24382E-03
47, 1.54204E-02, 7.69629E-03, 3.38037E-03, 8.94509E-03, 4.08281E-04, 3.24986E-04, 2.67003E-04, 1.27729E-03
