time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 4.11162E-03, 2.47595E-03, 2.22106E-03, 3.15921E-02, 1.59454E-04, 1.25622E-04, 1.05183E-04, 5.03893E-03
2, 4.54570E-03, 3.10564E-03, 2.17090E-03, 2.70664E-03, 1.64896E-04, 1.35216E-04, 1.07712E-04, 2.46678E-04
3, 3.91646E-03, 2.75722E-03, 1.48792E-03, 2.92760E-03, 1.49476E-04, 1.16956E-04, 9.49870E-05, 3.62239E-04
4, 4.23327E-03, 2.76714E-03, 1.42346E-03, 1.27701E-03, 1.48319E-04, 1.16877E-04, 9.30888E-05, 1.81061E-04
5, 4.49309E-03, 2.86898E-03, 1.38565E-03, 1.15396E-03, 1.45455E-04, 1.14735E-04, 9.20143E-05, 9.72152E-05
6, 4.85940E-03, 2.95007E-03, 1.35520E-03, 1.36945E-03, 1.43585E-04, 1.14152E-04, 9.08287E-05, 1.63886E-04
7, 5.11310E-03, 2.97463E-03, 1.33511E-03, 1.44748E-03, 1.41545E-04, 1.12866E-04, 8.97092E-05, 2.06522E-04
8, 5.66346E-03, 2.98658E-03, 1.46449E-03, 1.45003E-03, 1.39673E-04, 1.12025E-04, 8.86111E-05, 2.06977E-04
9, 6.17318E-03, 2.96206E-03, 1.61036E-03, 1.49016E-03, 1.37835E-04, 1.11110E-04, 8.76260E-05, 2.36965E-04
10, 6.62715E-03, 3.02095E-03, 1.74534E-03, 1.51491E-03, 1.36090E-04, 1.10244E-04, 8.66720E-05, 2.74559E-04
11, 7.09766E-03, 3.11828E-03, 1.84898E-03, 1.51172E-03, 1.34314E-04, 1.09347E-04, 8.57536E-05, 3.08873E-04
12, 7.74110E-03, 3.18237E-03, 1.91807E-03, 1.58962E-03, 1.32599E-04, 1.08559E-04, 8.48657E-05, 3.44641E-04
