time_step, rms_u, rms_v, rms_w, rms_p
0, 3.56018E-01, 9.07009E-01, 7.11459E-01, 2.31962E-01
1, 3.56420E-01, 9.06936E-01, 7.10933E-01, 2.32890E-01
2, 3.56818E-01, 9.06856E-01, 7.10405E-01, 2.33626E-01
3, 3.57218E-01, 9.06775E-01, 7.09879E-01, 2.34140E-01
4, 3.57619E-01, 9.06693E-01, 7.09355E-01, 2.34673E-01
5, 3.58021E-01, 9.06610E-01, 7.08832E-01, 2.35224E-01
6, 3.58425E-01, 9.06525E-01, 7.08312E-01, 2.35793E-01
7, 3.58830E-01, 9.06438E-01, 7.07793E-01, 2.36382E-01
8, 3.59237E-01, 9.06351E-01, 7.07276E-01, 2.36989E-01
9, 3.59645E-01, 9.06261E-01, 7.06761E-01, 2.37616E-01
10, 3.60055E-01, 9.06171E-01, 7.06248E-01, 2.38262E-01
11, 3.60466E-01, 9.06079E-01, 7.05737E-01, 2.38927E-01
12, 3.60879E-01, 9.05985E-01, 7.05228E-01, 2.39612E-01
13, 3.61292E-01, 9.05890E-01, 7.04721E-01, 2.40316E-01
14, 3.61707E-01, 9.05793E-01, 7.04216E-01, 2.41040E-01
15, 3.62124E-01, 9.05695E-01, 7.03713E-01, 2.41783E-01
16, 3.62541E-01, 9.05595E-01, 7.03212E-01, 2.42546E-01
17, 3.62961E-01, 9.05494E-01, 7.02713E-01, 2.43328E-01
18, 3.63381E-01, 9.05391E-01, 7.02216E-01, 2.44130E-01
19, 3.63802E-01, 9.05287E-01, 7.01721E-01, 2.44952E-01
20, 3.64225E-01, 9.05181E-01, 7.01228E-01, 2.45792E-01
21, 3.64649E-01, 9.05073E-01, 7.00737E-01, 2.46652E-01
22, 3.65075E-01, 9.04964E-01, 7.00249E-01, 2.47531E-01
23, 3.65501E-01, 9.04853E-01, 6.99763E-01, 2.48429E-01
24, 3.65929E-01, 9.04741E-01, 6.99278E-01, 2.49346E-01
25, 3.66358E-01, 9.04627E-01, 6.98797E-01, 2.50282E-01
26, 3.66788E-01, 9.04511E-01, 6.98317E-01, 2.51236E-01
27, 3.67219E-01, 9.04393E-01, 6.97839E-01, 2.52208E-01
28, 3.67651E-01, 9.04274E-01, 6.97364E-01, 2.53199E-01
29, 3.68084E-01, 9.04153E-01, 6.96891E-01, 2.54207E-01
30, 3.68519E-01, 9.04031E-01, 6.96421E-01, 2.55233E-01
31, 3.68954E-01, 9.03906E-01, 6.95952E-01, 2.56276E-01
32, 3.69391E-01, 9.03780E-01, 6.95486E-01, 2.57336E-01
33, 3.69828E-01, 9.03653E-01, 6.95022E-01, 2.58413E-01
34, 3.70267E-01, 9.03523E-01, 6.94561E-01, 2.59506E-01
35, 3.70706E-01, 9.03392E-01, 6.94102E-01, 2.60615E-01
36, 3.71147E-01, 9.03259E-01, 6.93645E-01, 2.61740E-01
37, 3.71588E-01, 9.03124E-01, 6.93191E-01, 2.62880E-01
38, 3.72030E-01, 9.02987E-01, 6.92739E-01, 2.64035E-01
39, 3.72473E-01, 9.02849E-01, 6.92290E-01, 2.65204E-01
40, 3.72917E-01, 9.02708E-01, 6.91843E-01, 2.66388E-01
41, 3.73362E-01, 9.02566E-01, 6.91398E-01, 2.67585E-01
42, 3.73808E-01, 9.02422E-01, 6.90956E-01, 2.68795E-01
43, 3.74254E-01, 9.02276E-01, 6.90516E-01, 2.70018E-01
44, 3.74701E-01, 9.02128E-01, 6.90079E-01, 2.71253E-01
45, 3.75149E-01, 9.01979E-01, 6.89644E-01, 2.72501E-01
46, 3.75598E-01, 9.01827E-01, 6.89212E-01, 2.73759E-01
47, 3.76047E-01, 9.01674E-01, 6.88782E-01, 2.75029E-01
48, 3.76498E-01, 9.01519E-01, 6.88355E-01, 2.76309E-01
49, 3.76948E-01, 9.01361E-01, 6.87930E-01, 2.77599E-01
50, 3.77400E-01, 9.01202E-01, 6.87508E-01, 2.78899E-01
51, 3.77852E-01, 9.01041E-01, 6.87088E-01, 2.80207E-01
52, 3.78304E-01, 9.00878E-01, 6.86671E-01, 2.81525E-01
53, 3.78758E-01, 9.00713E-01, 6.86256E-01, 2.82850E-01
54, 3.79211E-01, 9.00546E-01, 6.85844E-01, 2.84183E-01
55, 3.79666E-01, 9.00377E-01, 6.85435E-01, 2.85523E-01
56, 3.80121E-01, 9.00206E-01, 6.85028E-01, 2.86870E-01
57, 3.80576E-01, 9.00033E-01, 6.84623E-01, 2.88223E-01
58, 3.81032E-01, 8.99858E-01, 6.84221E-01, 2.89581E-01
59, 3.81488E-01, 8.99681E-01, 6.83822E-01, 2.90945E-01
60, 3.81945E-01, 8.99502E-01, 6.83426E-01, 2.92313E-01
61, 3.82402E-01, 8.99321E-01, 6.83032E-01, 2.93686E-01
62, 3.82859E-01, 8.99138E-01, 6.82640E-01, 2.95063E-01
63, 3.83317E-01, 8.98952E-01, 6.82252E-01, 2.96443E-01
64, 3.83775E-01, 8.98765E-01, 6.81865E-01, 2.97826E-01
65, 3.84234E-01, 8.98576E-01, 6.81482E-01, 2.99212E-01
66, 3.84692E-01, 8.98384E-01, 6.81101E-01, 3.00599E-01
67, 3.85151E-01, 8.98191E-01, 6.80723E-01, 3.01989E-01
68, 3.85611E-01, 8.97995E-01, 6.80347E-01, 3.03379E-01
69, 3.86070E-01, 8.97798E-01, 6.79974E-01, 3.04771E-01
70, 3.86530E-01, 8.97598E-01, 6.79604E-01, 3.06163E-01
71, 3.86990E-01, 8.97396E-01, 6.79236E-01, 3.07555E-01
72, 3.87450E-01, 8.97192E-01, 6.78871E-01, 3.08947E-01
73, 3.87910E-01, 8.96986E-01, 6.78509E-01, 3.10338E-01
74, 3.88370E-01, 8.96778E-01, 6.78149E-01, 3.11728E-01
75, 3.88831E-01, 8.96568E-01, 6.77792E-01, 3.13117E-01
76, 3.89291E-01, 8.96355E-01, 6.77438E-01, 3.14504E-01
77, 3.89752E-01, 8.96140E-01, 6.77087E-01, 3.15889E-01
78, 3.90212E-01, 8.95924E-01, 6.76738E-01, 3.17272E-01
79, 3.90673E-01, 8.95705E-01, 6.76392E-01, 3.18652E-01
80, 3.91134E-01, 8.95484E-01, 6.76048E-01, 3.20029E-01
81, 3.91594E-01, 8.95260E-01, 6.75707E-01, 3.21403E-01
82, 3.92055E-01, 8.95035E-01, 6.75369E-01, 3.22774E-01
83, 3.92515E-01, 8.94807E-01, 6.75034E-01, 3.24141E-01
84, 3.92975E-01, 8.94577E-01, 6.74701E-01, 3.25504E-01
85, 3.93436E-01, 8.94345E-01, 6.74371E-01, 3.26863E-01
86, 3.93896E-01, 8.94111E-01, 6.74044E-01, 3.28217E-01
87, 3.94356E-01, 8.93875E-01, 6.73719E-01, 3.29567E-01
88, 3.94815E-01, 8.93636E-01, 6.73397E-01, 3.30912E-01
89, 3.95275E-01, 8.93396E-01, 6.73078E-01, 3.32252E-01
90, 3.95734E-01, 8.93153E-01, 6.72762E-01, 3.33587E-01
91, 3.96193E-01, 8.92907E-01, 6.72448E-01, 3.34917E-01
92, 3.96652E-01, 8.92660E-01, 6.72137E-01, 3.36241E-01
93, 3.97111E-01, 8.92410E-01, 6.71829E-01, 3.37559E-01
94, 3.97569E-01, 8.92159E-01, 6.71523E-01, 3.38872E-01
95, 3.98027E-01, 8.91905E-01, 6.71221E-01, 3.40179E-01
96, 3.98485E-01, 8.91648E-01, 6.70921E-01, 3.41480E-01
97, 3.98942E-01, 8.91390E-01, 6.70623E-01, 3.42774E-01
98, 3.99399E-01, 8.91129E-01, 6.70329E-01, 3.44063E-01
99, 3.99855E-01, 8.90866E-01, 6.70037E-01, 3.45345E-01
100, 4.00311E-01, 8.90601E-01, 6.69748E-01, 3.46621E-01
101, 4.00767E-01, 8.90334E-01, 6.69462E-01, 3.47890E-01
102, 4.01222E-01, 8.90064E-01, 6.69178E-01, 3.49153E-01
103, 4.01676E-01, 8.89792E-01, 6.68898E-01, 3.50409E-01
104, 4.02131E-01, 8.89518E-01, 6.68620E-01, 3.51658E-01
105, 4.02584E-01, 8.89242E-01, 6.68345E-01, 3.52901E-01
106, 4.03037E-01, 8.88964E-01, 6.68072E-01, 3.54137E-01
107, 4.03490E-01, 8.88683E-01, 6.67803E-01, 3.55367E-01
108, 4.03942E-01, 8.88400E-01, 6.67536E-01, 3.56589E-01
109, 4.04393E-01, 8.88115E-01, 6.67272E-01, 3.57805E-01
110, 4.04844E-01, 8.87828E-01, 6.67010E-01, 3.59014E-01
111, 4.05294E-01, 8.87538E-01, 6.66752E-01, 3.60216E-01
112, 4.05743E-01, 8.87246E-01, 6.66496E-01, 3.61411E-01
113, 4.06192E-01, 8.86952E-01, 6.66243E-01, 3.62600E-01
114, 4.06640E-01, 8.86656E-01, 6.65993E-01, 3.63782E-01
115, 4.07087E-01, 8.86357E-01, 6.65746E-01, 3.64957E-01
116, 4.07534E-01, 8.86057E-01, 6.65501E-01, 3.66125E-01
117, 4.07979E-01, 8.85754E-01, 6.65260E-01, 3.67286E-01
118, 4.08424E-01, 8.85448E-01, 6.65021E-01, 3.68441E-01
119, 4.08869E-01, 8.85141E-01, 6.64785E-01, 3.69589E-01
120, 4.09312E-01, 8.84831E-01, 6.64551E-01, 3.70730E-01
121, 4.09755E-01, 8.84520E-01, 6.64321E-01, 3.71865E-01
122, 4.10197E-01, 8.84206E-01, 6.64093E-01, 3.72993E-01
