time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
42, 5.81475E-05, 3.63064E-05, 3.31866E-05, 7.70307E-05, 1.58902E-06, 1.99125E-06, 1.35921E-06, 1.84570E-05
43, 5.84295E-05, 3.63661E-05, 3.31269E-05, 7.64987E-05, 1.58726E-06, 1.99261E-06, 1.35760E-06, 1.81453E-05
44, 5.87079E-05, 3.64229E-05, 3.30663E-05, 7.59535E-05, 1.58553E-06, 1.99398E-06, 1.35601E-06, 1.78307E-05
45, 5.89828E-05, 3.64769E-05, 3.30048E-05, 7.53950E-05, 1.58384E-06, 1.99536E-06, 1.35445E-06, 1.75134E-05
46, 5.92540E-05, 3.65279E-05, 3.29424E-05, 7.48232E-05, 1.58221E-06, 1.99671E-06, 1.35291E-06, 1.71935E-05
47, 5.95217E-05, 3.65761E-05, 3.28790E-05, 7.42382E-05, 1.58062E-06, 1.99804E-06, 1.35138E-06, 1.68716E-05
48, 5.97856E-05, 3.66213E-05, 3.28148E-05, 7.36397E-05, 1.57906E-06, 1.99937E-06, 1.34987E-06, 1.65475E-05
49, 6.00459E-05, 3.66638E-05, 3.27496E-05, 7.30280E-05, 1.57754E-06, 2.00071E-06, 1.34836E-06, 1.62215E-05
50, 6.03025E-05, 3.67034E-05, 3.26836E-05, 7.24029E-05, 1.57606E-06, 2.00204E-06, 1.34686E-06, 1.58936E-05
51, 6.05553E-05, 3.67402E-05, 3.26166E-05, 7.17644E-05, 1.57461E-06, 2.00335E-06, 1.34539E-06, 1.55640E-05
52, 6.08044E-05, 3.67741E-05, 3.25487E-05, 7.11126E-05, 1.57320E-06, 2.00463E-06, 1.34392E-06, 1.52332E-05
53, 6.10496E-05, 3.68052E-05, 3.24799E-05, 7.04475E-05, 1.57181E-06, 2.00590E-06, 1.34247E-06, 1.49014E-05
54, 6.12911E-05, 3.68336E-05, 3.24103E-05, 6.97689E-05, 1.57045E-06, 2.00715E-06, 1.34103E-06, 1.45692E-05
