time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
42, 6.10226E-04, 4.03885E-04, 2.27728E-04, 1.92396E-03, 2.50872E-05, 1.96774E-05, 1.58599E-05, 3.15641E-04
43, 6.25887E-04, 4.12954E-04, 2.33151E-04, 1.92215E-03, 2.56669E-05, 2.01330E-05, 1.62296E-05, 3.15817E-04
44, 6.41531E-04, 4.21971E-04, 2.38549E-04, 1.92035E-03, 2.62460E-05, 2.05881E-05, 1.65989E-05, 3.15979E-04
45, 6.57154E-04, 4.30935E-04, 2.43917E-04, 1.91856E-03, 2.68239E-05, 2.10429E-05, 1.69679E-05, 3.16129E-04
46, 6.72752E-04, 4.39845E-04, 2.49256E-04, 1.91680E-03, 2.74008E-05, 2.14972E-05, 1.73367E-05, 3.16267E-04
47, 6.88319E-04, 4.48699E-04, 2.54563E-04, 1.91504E-03, 2.79769E-05, 2.19511E-05, 1.77051E-05, 3.16394E-04
48, 7.03851E-04, 4.57495E-04, 2.59836E-04, 1.91331E-03, 2.85520E-05, 2.24045E-05, 1.80731E-05, 3.16509E-04
49, 7.19343E-04, 4.66231E-04, 2.65073E-04, 1.91159E-03, 2.91263E-05, 2.28576E-05, 1.84408E-05, 3.16610E-04
50, 7.34791E-04, 4.76789E-04, 2.70272E-04, 1.90989E-03, 2.96993E-05, 2.33101E-05, 1.88081E-05, 3.16698E-04
51, 7.50190E-04, 4.87744E-04, 2.75433E-04, 1.90820E-03, 3.02717E-05, 2.37620E-05, 1.91751E-05, 3.16772E-04
52, 7.65535E-04, 4.98727E-04, 2.80552E-04, 1.90654E-03, 3.08438E-05, 2.42132E-05, 1.95417E-05, 3.16835E-04
53, 7.80821E-04, 5.09736E-04, 2.85628E-04, 1.90489E-03, 3.14154E-05, 2.46637E-05, 1.99080E-05, 3.16884E-04
54, 7.96045E-04, 5.20770E-04, 2.90659E-04, 1.90326E-03, 3.19860E-05, 2.51139E-05, 2.02738E-05, 3.16923E-04
55, 8.11201E-04, 5.31825E-04, 2.95644E-04, 1.90164E-03, 3.25554E-05, 2.55637E-05, 2.06395E-05, 3.16949E-04
56, 8.26285E-04, 5.42902E-04, 3.00580E-04, 1.90005E-03, 3.31237E-05, 2.60131E-05, 2.10047E-05, 3.16962E-04
57, 8.41292E-04, 5.53998E-04, 3.05465E-04, 1.89847E-03, 3.36907E-05, 2.64619E-05, 2.13695E-05, 3.16962E-04
58, 8.56219E-04, 5.65111E-04, 3.10299E-04, 1.89692E-03, 3.42565E-05, 2.69100E-05, 2.17340E-05, 3.16949E-04
59, 8.71060E-04, 5.76239E-04, 3.15078E-04, 1.89538E-03, 3.48215E-05, 2.73574E-05, 2.20981E-05, 3.16921E-04
60, 8.85811E-04, 5.87381E-04, 3.19802E-04, 1.89386E-03, 3.53853E-05, 2.78042E-05, 2.24615E-05, 3.16880E-04
61, 9.00468E-04, 5.98535E-04, 3.24469E-04, 1.89236E-03, 3.59486E-05, 2.82502E-05, 2.28247E-05, 3.16825E-04
62, 9.15026E-04, 6.09700E-04, 3.29076E-04, 1.89089E-03, 3.65104E-05, 2.86958E-05, 2.31875E-05, 3.16755E-04
