time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 9.04807E-06, 7.99770E-06, 1.13332E-05, 4.15340E-03, 4.23455E-07, 4.82661E-07, 3.76575E-07, 8.31231E-04
2, 1.40705E-05, 1.34235E-05, 9.65400E-06, 2.07175E-05, 5.13007E-07, 5.50414E-07, 4.24697E-07, 6.84577E-06
3, 1.10811E-05, 8.71063E-06, 8.72871E-06, 3.27092E-05, 4.27400E-07, 4.83790E-07, 3.61945E-07, 7.49869E-06
4, 1.11105E-05, 8.72498E-06, 8.71278E-06, 1.92434E-05, 4.27159E-07, 4.83950E-07, 3.61542E-07, 6.52490E-06
5, 1.11722E-05, 8.71726E-06, 8.71924E-06, 2.20566E-05, 4.26476E-07, 4.84092E-07, 3.61197E-07, 6.71461E-06
6, 1.12188E-05, 8.72152E-06, 8.71205E-06, 2.19472E-05, 4.25952E-07, 4.84260E-07, 3.60834E-07, 6.69311E-06
7, 1.12674E-05, 8.72386E-06, 8.70653E-06, 2.19714E-05, 4.25410E-07, 4.84425E-07, 3.60477E-07, 6.68129E-06
8, 1.13160E-05, 8.72600E-06, 8.70103E-06, 2.19581E-05, 4.24872E-07, 4.84590E-07, 3.60123E-07, 6.66697E-06
9, 1.13644E-05, 8.72796E-06, 8.69540E-06, 2.19491E-05, 4.24340E-07, 4.84754E-07, 3.59771E-07, 6.65231E-06
10, 1.14127E-05, 8.72972E-06, 8.68969E-06, 2.19389E-05, 4.23811E-07, 4.84918E-07, 3.59422E-07, 6.63732E-06
11, 1.14608E-05, 8.73130E-06, 8.68389E-06, 2.19281E-05, 4.23287E-07, 4.85083E-07, 3.59075E-07, 6.62195E-06
12, 1.15089E-05, 8.73268E-06, 8.67799E-06, 2.19166E-05, 4.22766E-07, 4.85248E-07, 3.58730E-07, 6.60621E-06
13, 1.15568E-05, 8.73388E-06, 8.67200E-06, 2.19045E-05, 4.22251E-07, 4.85415E-07, 3.58386E-07, 6.59008E-06
14, 1.16046E-05, 8.73489E-06, 8.66592E-06, 2.18917E-05, 4.21741E-07, 4.85581E-07, 3.58045E-07, 6.57359E-06
15, 1.16523E-05, 8.73571E-06, 8.66148E-06, 2.18782E-05, 4.21236E-07, 4.85746E-07, 3.57707E-07, 6.55672E-06
16, 1.16999E-05, 8.73635E-06, 8.65813E-06, 2.18640E-05, 4.20735E-07, 4.85911E-07, 3.57370E-07, 6.53946E-06
17, 1.17473E-05, 8.73680E-06, 8.65471E-06, 2.18492E-05, 4.20237E-07, 4.86075E-07, 3.57035E-07, 6.52183E-06
18, 1.17946E-05, 8.73707E-06, 8.65123E-06, 2.18336E-05, 4.19743E-07, 4.86240E-07, 3.56701E-07, 6.50383E-06
19, 1.18418E-05, 8.73715E-06, 8.64770E-06, 2.18174E-05, 4.19255E-07, 4.86406E-07, 3.56372E-07, 6.48545E-06
20, 1.18888E-05, 8.73705E-06, 8.64410E-06, 2.18005E-05, 4.18771E-07, 4.86572E-07, 3.56044E-07, 6.46670E-06
21, 1.19357E-05, 8.73676E-06, 8.64043E-06, 2.17828E-05, 4.18292E-07, 4.86741E-07, 3.55720E-07, 6.44757E-06
22, 1.19825E-05, 8.73630E-06, 8.63671E-06, 2.17645E-05, 4.17817E-07, 4.86911E-07, 3.55398E-07, 6.42807E-06
23, 1.20291E-05, 8.73565E-06, 8.63293E-06, 2.17454E-05, 4.17348E-07, 4.87081E-07, 3.55079E-07, 6.40820E-06
24, 1.20756E-05, 8.73482E-06, 8.62908E-06, 2.17257E-05, 4.16883E-07, 4.87251E-07, 3.54763E-07, 6.38796E-06
25, 1.21219E-05, 8.73381E-06, 8.62517E-06, 2.17052E-05, 4.16423E-07, 4.87421E-07, 3.54449E-07, 6.36734E-06
26, 1.21681E-05, 8.73262E-06, 8.62121E-06, 2.16841E-05, 4.15966E-07, 4.87591E-07, 3.54136E-07, 6.34635E-06
27, 1.22141E-05, 8.73125E-06, 8.61718E-06, 2.16622E-05, 4.15514E-07, 4.87764E-07, 3.53827E-07, 6.32499E-06
28, 1.22600E-05, 8.72970E-06, 8.61309E-06, 2.16396E-05, 4.15065E-07, 4.87938E-07, 3.53518E-07, 6.30326E-06
29, 1.23058E-05, 8.72797E-06, 8.60894E-06, 2.16162E-05, 4.14623E-07, 4.88111E-07, 3.53213E-07, 6.28117E-06
30, 1.23514E-05, 8.72607E-06, 8.60472E-06, 2.15922E-05, 4.14186E-07, 4.88283E-07, 3.52910E-07, 6.25871E-06
31, 1.23968E-05, 8.72399E-06, 8.60045E-06, 2.15674E-05, 4.13754E-07, 4.88456E-07, 3.52608E-07, 6.23589E-06
32, 1.24421E-05, 8.72173E-06, 8.59611E-06, 2.15419E-05, 4.13326E-07, 4.88628E-07, 3.52309E-07, 6.21270E-06
33, 1.24873E-05, 8.71930E-06, 8.59172E-06, 2.15156E-05, 4.12901E-07, 4.88801E-07, 3.52013E-07, 6.18914E-06
34, 1.25322E-05, 8.71670E-06, 8.58726E-06, 2.14887E-05, 4.12482E-07, 4.88975E-07, 3.51720E-07, 6.16523E-06
35, 1.25771E-05, 8.71392E-06, 8.58275E-06, 2.14609E-05, 4.12070E-07, 4.89150E-07, 3.51429E-07, 6.14097E-06
36, 1.26217E-05, 8.71097E-06, 8.57817E-06, 2.14325E-05, 4.11664E-07, 4.89326E-07, 3.51140E-07, 6.11636E-06
37, 1.26662E-05, 8.70785E-06, 8.57353E-06, 2.14033E-05, 4.11262E-07, 4.89503E-07, 3.50852E-07, 6.09138E-06
38, 1.27106E-05, 8.70455E-06, 8.56883E-06, 2.13733E-05, 4.10865E-07, 4.89680E-07, 3.50567E-07, 6.06604E-06
39, 1.27547E-05, 8.70108E-06, 8.56407E-06, 2.13426E-05, 4.10474E-07, 4.89856E-07, 3.50284E-07, 6.04036E-06
40, 1.27987E-05, 8.69745E-06, 8.55925E-06, 2.13112E-05, 4.10086E-07, 4.90035E-07, 3.50003E-07, 6.01432E-06
41, 1.28426E-05, 8.69364E-06, 8.55437E-06, 2.12790E-05, 4.09703E-07, 4.90214E-07, 3.49724E-07, 5.98793E-06
42, 1.28863E-05, 8.68967E-06, 8.54943E-06, 2.12461E-05, 4.09324E-07, 4.90393E-07, 3.49447E-07, 5.96119E-06
43, 1.29298E-05, 8.68553E-06, 8.54443E-06, 2.12123E-05, 4.08951E-07, 4.90573E-07, 3.49173E-07, 5.93409E-06
44, 1.29731E-05, 8.68122E-06, 8.53937E-06, 2.11779E-05, 4.08580E-07, 4.90753E-07, 3.48901E-07, 5.90664E-06
45, 1.30163E-05, 8.67674E-06, 8.53425E-06, 2.11426E-05, 4.08216E-07, 4.90934E-07, 3.48632E-07, 5.87885E-06
46, 1.30592E-05, 8.67210E-06, 8.52907E-06, 2.11067E-05, 4.07854E-07, 4.91114E-07, 3.48364E-07, 5.85071E-06
