time_step, rms_u, rms_v, rms_w, rms_p
83, 4.48885E-01, 4.76801E-01, 6.22301E-01, 2.70400E-01
84, 4.48818E-01, 4.76737E-01, 6.22308E-01, 2.70337E-01
85, 4.48751E-01, 4.76673E-01, 6.22314E-01, 2.70274E-01
86, 4.48684E-01, 4.76609E-01, 6.22321E-01, 2.70211E-01
87, 4.48617E-01, 4.76546E-01, 6.22328E-01, 2.70149E-01
88, 4.48550E-01, 4.76482E-01, 6.22334E-01, 2.70086E-01
89, 4.48483E-01, 4.76418E-01, 6.22341E-01, 2.70024E-01
90, 4.48415E-01, 4.76355E-01, 6.22347E-01, 2.69962E-01
91, 4.48348E-01, 4.76291E-01, 6.22354E-01, 2.69899E-01
92, 4.48281E-01, 4.76228E-01, 6.22361E-01, 2.69837E-01
93, 4.48214E-01, 4.76164E-01, 6.22367E-01, 2.69775E-01
94, 4.48147E-01, 4.76101E-01, 6.22374E-01, 2.69713E-01
95, 4.48079E-01, 4.76038E-01, 6.22380E-01, 2.69651E-01
96, 4.48012E-01, 4.75975E-01, 6.22387E-01, 2.69589E-01
97, 4.47945E-01, 4.75912E-01, 6.22393E-01, 2.69528E-01
98, 4.47877E-01, 4.75849E-01, 6.22400E-01, 2.69466E-01
99, 4.47810E-01, 4.75786E-01, 6.22407E-01, 2.69404E-01
100, 4.47743E-01, 4.75724E-01, 6.22413E-01, 2.69343E-01
101, 4.47675E-01, 4.75661E-01, 6.22420E-01, 2.69281E-01
102, 4.47608E-01, 4.75598E-01, 6.22426E-01, 2.69220E-01
103, 4.47540E-01, 4.75536E-01, 6.22433E-01, 2.69159E-01
104, 4.47473E-01, 4.75474E-01, 6.22439E-01, 2.69098E-01
105, 4.47405E-01, 4.75411E-01, 6.22446E-01, 2.69037E-01
106, 4.47337E-01, 4.75349E-01, 6.22452E-01, 2.68976E-01
107, 4.47270E-01, 4.75287E-01, 6.22459E-01, 2.68915E-01
108, 4.47202E-01, 4.75225E-01, 6.22465E-01, 2.68854E-01
109, 4.47134E-01, 4.75163E-01, 6.22472E-01, 2.68793E-01
110, 4.47067E-01, 4.75101E-01, 6.22478E-01, 2.68732E-01
111, 4.46999E-01, 4.75039E-01, 6.22485E-01, 2.68672E-01
112, 4.46931E-01, 4.74977E-01, 6.22491E-01, 2.68611E-01
113, 4.46864E-01, 4.74916E-01, 6.22497E-01, 2.68550E-01
114, 4.46796E-01, 4.74854E-01, 6.22504E-01, 2.68490E-01
115, 4.46728E-01, 4.74793E-01, 6.22510E-01, 2.68430E-01
116, 4.46660E-01, 4.74731E-01, 6.22517E-01, 2.68369E-01
117, 4.46592E-01, 4.74670E-01, 6.22523E-01, 2.68309E-01
118, 4.46524E-01, 4.74609E-01, 6.22530E-01, 2.68249E-01
119, 4.46456E-01, 4.74548E-01, 6.22536E-01, 2.68189E-01
120, 4.46388E-01, 4.74487E-01, 6.22542E-01, 2.68129E-01
121, 4.46320E-01, 4.74426E-01, 6.22549E-01, 2.68069E-01
122, 4.46252E-01, 4.74365E-01, 6.22555E-01, 2.68010E-01
