time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 4.11162E-03, 2.47595E-03, 2.22106E-03, 3.15921E-02, 1.59454E-04, 1.25622E-04, 1.05183E-04, 5.03893E-03
2, 7.27835E-03, 4.96595E-03, 2.95944E-03, 3.04664E-02, 3.05639E-04, 2.37730E-04, 1.93104E-04, 5.23106E-03
3, 1.06408E-02, 7.42469E-03, 4.45155E-03, 3.06155E-02, 4.53929E-04, 3.52989E-04, 2.87791E-04, 5.27870E-03
4, 1.48893E-02, 1.02740E-02, 5.77546E-03, 3.01995E-02, 6.00176E-04, 4.67112E-04, 3.81098E-04, 5.28606E-03
5, 1.91729E-02, 1.31511E-02, 6.87516E-03, 2.98847E-02, 7.42992E-04, 5.79221E-04, 4.73573E-04, 5.26569E-03
6, 2.45012E-02, 1.59133E-02, 8.26893E-03, 2.96529E-02, 8.82915E-04, 6.89564E-04, 5.64785E-04, 5.16886E-03
7, 2.96758E-02, 1.84317E-02, 9.34204E-03, 2.95502E-02, 1.01998E-03, 7.98238E-04, 6.54797E-04, 5.00469E-03
8, 3.42730E-02, 2.05926E-02, 9.95454E-03, 2.96547E-02, 1.15460E-03, 9.05280E-04, 7.43785E-04, 4.80316E-03
9, 4.07543E-02, 2.30151E-02, 1.18142E-02, 3.01642E-02, 1.28745E-03, 1.01081E-03, 8.32187E-04, 4.61368E-03
10, 4.74823E-02, 2.62602E-02, 1.34266E-02, 3.08218E-02, 1.41838E-03, 1.11479E-03, 9.19579E-04, 4.51753E-03
11, 5.61798E-02, 2.92479E-02, 1.46180E-02, 3.17873E-02, 1.54564E-03, 1.21660E-03, 1.00607E-03, 4.63863E-03
12, 6.56036E-02, 3.18635E-02, 1.62300E-02, 3.47521E-02, 1.67093E-03, 1.31747E-03, 1.09179E-03, 5.07912E-03
