time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
42, 2.59008E-03, 1.70929E-03, 8.31151E-04, 3.72942E-03, 9.74970E-05, 7.68160E-05, 6.22327E-05, 6.25785E-04
43, 2.65808E-03, 1.75315E-03, 8.42513E-04, 3.72550E-03, 9.96802E-05, 7.85502E-05, 6.36594E-05, 6.24302E-04
44, 2.72533E-03, 1.79675E-03, 8.55206E-04, 3.72179E-03, 1.01856E-04, 8.02808E-05, 6.50860E-05, 6.22709E-04
45, 2.79176E-03, 1.84005E-03, 8.74905E-04, 3.71829E-03, 1.04024E-04, 8.20091E-05, 6.65110E-05, 6.21033E-04
46, 2.86911E-03, 1.88303E-03, 8.94172E-04, 3.71500E-03, 1.06191E-04, 8.37329E-05, 6.79319E-05, 6.19270E-04
47, 2.95797E-03, 1.92566E-03, 9.12975E-04, 3.71193E-03, 1.08350E-04, 8.54521E-05, 6.93489E-05, 6.17408E-04
48, 3.04670E-03, 1.96791E-03, 9.31285E-04, 3.70908E-03, 1.10498E-04, 8.71682E-05, 7.07624E-05, 6.15457E-04
49, 3.13521E-03, 2.00976E-03, 9.49072E-04, 3.70646E-03, 1.12641E-04, 8.88813E-05, 7.21714E-05, 6.13424E-04
50, 3.22342E-03, 2.05117E-03, 9.66306E-04, 3.70407E-03, 1.14778E-04, 9.05919E-05, 7.35786E-05, 6.11325E-04
51, 3.31123E-03, 2.09211E-03, 9.82957E-04, 3.70190E-03, 1.16912E-04, 9.22961E-05, 7.49823E-05, 6.09156E-04
52, 3.39855E-03, 2.13257E-03, 9.98996E-04, 3.69998E-03, 1.19041E-04, 9.39957E-05, 7.63825E-05, 6.06934E-04
53, 3.48529E-03, 2.17250E-03, 1.01439E-03, 3.69829E-03, 1.21165E-04, 9.56931E-05, 7.77815E-05, 6.04661E-04
54, 3.57137E-03, 2.21190E-03, 1.02913E-03, 3.69684E-03, 1.23283E-04, 9.73879E-05, 7.91773E-05, 6.02336E-04
55, 3.65670E-03, 2.25072E-03, 1.04316E-03, 3.69563E-03, 1.25394E-04, 9.90796E-05, 8.05721E-05, 5.99979E-04
56, 3.74119E-03, 2.28894E-03, 1.05647E-03, 3.69897E-03, 1.27497E-04, 1.00767E-04, 8.19645E-05, 5.97602E-04
57, 3.82475E-03, 2.32653E-03, 1.06904E-03, 3.70344E-03, 1.29593E-04, 1.02450E-04, 8.33520E-05, 5.95197E-04
