time_step, rms_u, rms_v, rms_w, rms_p
48, 4.01100E-01, 4.52222E-01, 6.23787E-01, 2.39467E-01
49, 3.99971E-01, 4.52125E-01, 6.23721E-01, 2.38865E-01
50, 3.98840E-01, 4.52049E-01, 6.23652E-01, 2.38264E-01
51, 3.97706E-01, 4.51994E-01, 6.23578E-01, 2.37665E-01
52, 3.96571E-01, 4.51960E-01, 6.23502E-01, 2.37066E-01
53, 3.95433E-01, 4.51947E-01, 6.23422E-01, 2.36469E-01
54, 3.94293E-01, 4.51954E-01, 6.23338E-01, 2.35872E-01
55, 3.93152E-01, 4.51982E-01, 6.23251E-01, 2.35276E-01
56, 3.92009E-01, 4.52030E-01, 6.23161E-01, 2.34680E-01
57, 3.90864E-01, 4.52098E-01, 6.23067E-01, 2.34085E-01
58, 3.89718E-01, 4.52185E-01, 6.22971E-01, 2.33489E-01
59, 3.88570E-01, 4.52291E-01, 6.22871E-01, 2.32893E-01
60, 3.87420E-01, 4.52416E-01, 6.22768E-01, 2.32296E-01
61, 3.86270E-01, 4.52560E-01, 6.22662E-01, 2.31699E-01
62, 3.85118E-01, 4.52722E-01, 6.22553E-01, 2.31101E-01
63, 3.83966E-01, 4.52903E-01, 6.22440E-01, 2.30502E-01
64, 3.82812E-01, 4.53101E-01, 6.22325E-01, 2.29902E-01
65, 3.81657E-01, 4.53317E-01, 6.22207E-01, 2.29300E-01
66, 3.80502E-01, 4.53550E-01, 6.22085E-01, 2.28698E-01
67, 3.79346E-01, 4.53801E-01, 6.21960E-01, 2.28094E-01
68, 3.78190E-01, 4.54069E-01, 6.21833E-01, 2.27490E-01
69, 3.77033E-01, 4.54354E-01, 6.21702E-01, 2.26884E-01
70, 3.75876E-01, 4.54656E-01, 6.21567E-01, 2.26278E-01
71, 3.74719E-01, 4.54974E-01, 6.21430E-01, 2.25672E-01
72, 3.73561E-01, 4.55309E-01, 6.21289E-01, 2.25065E-01
73, 3.72404E-01, 4.55660E-01, 6.21144E-01, 2.24459E-01
74, 3.71247E-01, 4.56027E-01, 6.20996E-01, 2.23854E-01
75, 3.70090E-01, 4.56411E-01, 6.20844E-01, 2.23250E-01
76, 3.68933E-01, 4.56811E-01, 6.20689E-01, 2.22647E-01
77, 3.67777E-01, 4.57227E-01, 6.20530E-01, 2.22047E-01
78, 3.66622E-01, 4.57659E-01, 6.20366E-01, 2.21450E-01
79, 3.65467E-01, 4.58107E-01, 6.20198E-01, 2.20856E-01
80, 3.64313E-01, 4.58572E-01, 6.20026E-01, 2.20267E-01
81, 3.63161E-01, 4.59052E-01, 6.19850E-01, 2.19683E-01
82, 3.62009E-01, 4.59548E-01, 6.19668E-01, 2.19105E-01
83, 3.60858E-01, 4.60060E-01, 6.19482E-01, 2.18533E-01
84, 3.59709E-01, 4.60588E-01, 6.19291E-01, 2.17968E-01
85, 3.58562E-01, 4.61132E-01, 6.19094E-01, 2.17412E-01
86, 3.57416E-01, 4.61691E-01, 6.18892E-01, 2.16864E-01
87, 3.56271E-01, 4.62267E-01, 6.18684E-01, 2.16325E-01
88, 3.55129E-01, 4.62858E-01, 6.18471E-01, 2.15797E-01
89, 3.53988E-01, 4.63465E-01, 6.18251E-01, 2.15280E-01
90, 3.52850E-01, 4.64087E-01, 6.18025E-01, 2.14774E-01
91, 3.51713E-01, 4.64725E-01, 6.17792E-01, 2.14280E-01
92, 3.50579E-01, 4.65379E-01, 6.17553E-01, 2.13799E-01
93, 3.49448E-01, 4.66047E-01, 6.17307E-01, 2.13332E-01
94, 3.48318E-01, 4.66731E-01, 6.17055E-01, 2.12878E-01
95, 3.47192E-01, 4.67430E-01, 6.16795E-01, 2.12439E-01
96, 3.46068E-01, 4.68144E-01, 6.16527E-01, 2.12014E-01
97, 3.44948E-01, 4.68872E-01, 6.16252E-01, 2.11605E-01
98, 3.43830E-01, 4.69615E-01, 6.15969E-01, 2.11212E-01
99, 3.42716E-01, 4.70372E-01, 6.15679E-01, 2.10835E-01
100, 3.41606E-01, 4.71144E-01, 6.15380E-01, 2.10474E-01
101, 3.40498E-01, 4.71929E-01, 6.15074E-01, 2.10131E-01
102, 3.39395E-01, 4.72728E-01, 6.14759E-01, 2.09804E-01
103, 3.38296E-01, 4.73541E-01, 6.14435E-01, 2.09495E-01
104, 3.37201E-01, 4.74366E-01, 6.14103E-01, 2.09204E-01
105, 3.36111E-01, 4.75205E-01, 6.13762E-01, 2.08931E-01
106, 3.35025E-01, 4.76057E-01, 6.13412E-01, 2.08677E-01
107, 3.33944E-01, 4.76921E-01, 6.13053E-01, 2.08442E-01
108, 3.32868E-01, 4.77797E-01, 6.12685E-01, 2.08225E-01
109, 3.31798E-01, 4.78684E-01, 6.12307E-01, 2.08029E-01
110, 3.30734E-01, 4.79584E-01, 6.11920E-01, 2.07852E-01
111, 3.29675E-01, 4.80495E-01, 6.11524E-01, 2.07695E-01
112, 3.28623E-01, 4.81416E-01, 6.11117E-01, 2.07559E-01
113, 3.27578E-01, 4.82348E-01, 6.10702E-01, 2.07443E-01
114, 3.26539E-01, 4.83291E-01, 6.10276E-01, 2.07348E-01
115, 3.25507E-01, 4.84243E-01, 6.09841E-01, 2.07275E-01
116, 3.24483E-01, 4.85205E-01, 6.09395E-01, 2.07223E-01
117, 3.23467E-01, 4.86176E-01, 6.08940E-01, 2.07193E-01
118, 3.22459E-01, 4.87156E-01, 6.08475E-01, 2.07184E-01
119, 3.21459E-01, 4.88144E-01, 6.08000E-01, 2.07197E-01
120, 3.20468E-01, 4.89140E-01, 6.07515E-01, 2.07231E-01
121, 3.19486E-01, 4.90144E-01, 6.07020E-01, 2.07287E-01
122, 3.18514E-01, 4.91155E-01, 6.06516E-01, 2.07365E-01
123, 3.17551E-01, 4.92172E-01, 6.06001E-01, 2.07463E-01
124, 3.16599E-01, 4.93197E-01, 6.05477E-01, 2.07582E-01
125, 3.15656E-01, 4.94227E-01, 6.04943E-01, 2.07721E-01
126, 3.14725E-01, 4.95263E-01, 6.04400E-01, 2.07880E-01
127, 3.13804E-01, 4.96304E-01, 6.03848E-01, 2.08057E-01
128, 3.12894E-01, 4.97350E-01, 6.03286E-01, 2.08253E-01
129, 3.11996E-01, 4.98401E-01, 6.02716E-01, 2.08466E-01
130, 3.11110E-01, 4.99455E-01, 6.02137E-01, 2.08696E-01
131, 3.10235E-01, 5.00513E-01, 6.01549E-01, 2.08941E-01
132, 3.09372E-01, 5.01574E-01, 6.00953E-01, 2.09201E-01
133, 3.08522E-01, 5.02637E-01, 6.00349E-01, 2.09476E-01
