time_step, rms_u, rms_v, rms_w, rms_p
83, 4.08589E-01, 4.53478E-01, 6.23993E-01, 2.31306E-01
84, 4.08030E-01, 4.53354E-01, 6.23974E-01, 2.31790E-01
85, 4.07471E-01, 4.53236E-01, 6.23954E-01, 2.32275E-01
86, 4.06912E-01, 4.53123E-01, 6.23933E-01, 2.32761E-01
87, 4.06352E-01, 4.53016E-01, 6.23911E-01, 2.33249E-01
88, 4.05791E-01, 4.52914E-01, 6.23888E-01, 2.33739E-01
89, 4.05230E-01, 4.52818E-01, 6.23864E-01, 2.34230E-01
90, 4.04669E-01, 4.52728E-01, 6.23839E-01, 2.34722E-01
91, 4.04106E-01, 4.52643E-01, 6.23812E-01, 2.35216E-01
92, 4.03544E-01, 4.52563E-01, 6.23785E-01, 2.35712E-01
93, 4.02981E-01, 4.52489E-01, 6.23756E-01, 2.36209E-01
94, 4.02417E-01, 4.52421E-01, 6.23727E-01, 2.36708E-01
95, 4.01852E-01, 4.52357E-01, 6.23696E-01, 2.37209E-01
96, 4.01288E-01, 4.52300E-01, 6.23664E-01, 2.37711E-01
97, 4.00722E-01, 4.52247E-01, 6.23632E-01, 2.38215E-01
98, 4.00156E-01, 4.52200E-01, 6.23598E-01, 2.38721E-01
99, 3.99590E-01, 4.52159E-01, 6.23564E-01, 2.39229E-01
100, 3.99023E-01, 4.52123E-01, 6.23528E-01, 2.39738E-01
101, 3.98455E-01, 4.52092E-01, 6.23492E-01, 2.40249E-01
102, 3.97887E-01, 4.52066E-01, 6.23454E-01, 2.40763E-01
103, 3.97318E-01, 4.52045E-01, 6.23416E-01, 2.41278E-01
104, 3.96749E-01, 4.52030E-01, 6.23377E-01, 2.41795E-01
105, 3.96180E-01, 4.52020E-01, 6.23337E-01, 2.42314E-01
106, 3.95610E-01, 4.52015E-01, 6.23296E-01, 2.42836E-01
107, 3.95039E-01, 4.52016E-01, 6.23254E-01, 2.43359E-01
108, 3.94468E-01, 4.52021E-01, 6.23211E-01, 2.43885E-01
109, 3.93897E-01, 4.52032E-01, 6.23168E-01, 2.44413E-01
110, 3.93325E-01, 4.52047E-01, 6.23123E-01, 2.44944E-01
111, 3.92753E-01, 4.52068E-01, 6.23078E-01, 2.45476E-01
112, 3.92180E-01, 4.52093E-01, 6.23032E-01, 2.46011E-01
113, 3.91607E-01, 4.52124E-01, 6.22985E-01, 2.46549E-01
114, 3.91034E-01, 4.52159E-01, 6.22937E-01, 2.47089E-01
115, 3.90460E-01, 4.52199E-01, 6.22888E-01, 2.47632E-01
116, 3.89886E-01, 4.52245E-01, 6.22839E-01, 2.48178E-01
117, 3.89311E-01, 4.52295E-01, 6.22788E-01, 2.48726E-01
118, 3.88736E-01, 4.52349E-01, 6.22737E-01, 2.49277E-01
119, 3.88161E-01, 4.52409E-01, 6.22686E-01, 2.49831E-01
120, 3.87586E-01, 4.52473E-01, 6.22633E-01, 2.50388E-01
121, 3.87010E-01, 4.52542E-01, 6.22579E-01, 2.50947E-01
122, 3.86434E-01, 4.52615E-01, 6.22525E-01, 2.51510E-01
123, 3.85857E-01, 4.52693E-01, 6.22470E-01, 2.52076E-01
124, 3.85281E-01, 4.52776E-01, 6.22414E-01, 2.52645E-01
125, 3.84704E-01, 4.52864E-01, 6.22358E-01, 2.53217E-01
126, 3.84127E-01, 4.52955E-01, 6.22300E-01, 2.53793E-01
127, 3.83550E-01, 4.53052E-01, 6.22242E-01, 2.54372E-01
128, 3.82972E-01, 4.53152E-01, 6.22183E-01, 2.54954E-01
129, 3.82395E-01, 4.53258E-01, 6.22123E-01, 2.55540E-01
130, 3.81817E-01, 4.53367E-01, 6.22063E-01, 2.56129E-01
131, 3.81239E-01, 4.53481E-01, 6.22001E-01, 2.56721E-01
132, 3.80661E-01, 4.53600E-01, 6.21939E-01, 2.57318E-01
133, 3.80083E-01, 4.53722E-01, 6.21876E-01, 2.57917E-01
134, 3.79504E-01, 4.53849E-01, 6.21813E-01, 2.58521E-01
135, 3.78926E-01, 4.53981E-01, 6.21748E-01, 2.59128E-01
