time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
42, 2.58986E-03, 7.66138E-04, 7.45926E-04, 4.00118E-04, 2.99520E-05, 2.59835E-05, 1.96549E-05, 1.41229E-04
43, 2.58086E-03, 7.63776E-04, 7.78139E-04, 3.94671E-04, 2.97683E-05, 2.59150E-05, 1.95758E-05, 1.42093E-04
44, 2.56129E-03, 7.59537E-04, 8.07470E-04, 3.87901E-04, 2.95827E-05, 2.58428E-05, 1.94922E-05, 1.42508E-04
45, 2.53108E-03, 7.54037E-04, 8.33584E-04, 3.79888E-04, 2.94000E-05, 2.57658E-05, 1.94082E-05, 1.42473E-04
46, 2.51834E-03, 7.64294E-04, 8.56167E-04, 3.70727E-04, 2.92157E-05, 2.56965E-05, 1.93234E-05, 1.41993E-04
47, 2.53451E-03, 7.73682E-04, 8.74927E-04, 3.60527E-04, 2.90410E-05, 2.56241E-05, 1.92413E-05, 1.41084E-04
48, 2.54062E-03, 7.81107E-04, 8.89600E-04, 3.49405E-04, 2.88711E-05, 2.55513E-05, 1.91573E-05, 1.39769E-04
49, 2.53635E-03, 7.86500E-04, 8.99954E-04, 3.37490E-04, 2.86948E-05, 2.54764E-05, 1.90752E-05, 1.38079E-04
50, 2.52144E-03, 7.89812E-04, 9.05792E-04, 3.24918E-04, 2.85106E-05, 2.54029E-05, 1.89946E-05, 1.36056E-04
51, 2.49575E-03, 7.90992E-04, 9.06953E-04, 3.11827E-04, 2.83114E-05, 2.53238E-05, 1.89134E-05, 1.33748E-04
52, 2.45919E-03, 7.90000E-04, 9.03318E-04, 3.11465E-04, 2.81020E-05, 2.52571E-05, 1.88306E-05, 1.31210E-04
53, 2.41178E-03, 8.15491E-04, 8.94808E-04, 3.11128E-04, 2.79088E-05, 2.51950E-05, 1.87493E-05, 1.28503E-04
54, 2.35362E-03, 8.55026E-04, 8.81387E-04, 3.10451E-04, 2.77080E-05, 2.51316E-05, 1.86717E-05, 1.25694E-04
55, 2.36367E-03, 8.93755E-04, 8.63065E-04, 3.09498E-04, 2.75042E-05, 2.50700E-05, 1.85959E-05, 1.22852E-04
56, 2.39869E-03, 9.31563E-04, 8.42375E-04, 3.08336E-04, 2.72958E-05, 2.50125E-05, 1.85183E-05, 1.20051E-04
57, 2.46081E-03, 9.68337E-04, 8.88229E-04, 3.07032E-04, 2.70822E-05, 2.49524E-05, 1.84374E-05, 1.17364E-04
58, 2.54981E-03, 1.00397E-03, 9.31824E-04, 3.05654E-04, 2.68892E-05, 2.48878E-05, 1.83540E-05, 1.14859E-04
59, 2.62666E-03, 1.03836E-03, 9.72853E-04, 3.04265E-04, 2.66874E-05, 2.48155E-05, 1.82662E-05, 1.12604E-04
60, 2.69098E-03, 1.07140E-03, 1.01102E-03, 3.02925E-04, 2.64801E-05, 2.47392E-05, 1.81738E-05, 1.10659E-04
61, 2.74247E-03, 1.10301E-03, 1.04605E-03, 3.01684E-04, 2.62726E-05, 2.46632E-05, 1.80775E-05, 1.09077E-04
62, 2.78098E-03, 1.13311E-03, 1.07769E-03, 3.00587E-04, 2.60631E-05, 2.45868E-05, 1.79811E-05, 1.07903E-04
63, 2.80648E-03, 1.16160E-03, 1.10570E-03, 2.99667E-04, 2.58714E-05, 2.45075E-05, 1.78925E-05, 1.07168E-04
64, 2.81903E-03, 1.18843E-03, 1.12986E-03, 2.98945E-04, 2.56779E-05, 2.44245E-05, 1.78068E-05, 1.06893E-04
65, 2.81881E-03, 1.21352E-03, 1.15002E-03, 2.98872E-04, 2.54847E-05, 2.43382E-05, 1.77203E-05, 1.07088E-04
66, 2.80610E-03, 1.23684E-03, 1.16608E-03, 2.98994E-04, 2.52860E-05, 2.42535E-05, 1.76321E-05, 1.07744E-04
67, 2.78127E-03, 1.26070E-03, 1.17784E-03, 2.99290E-04, 2.50876E-05, 2.41706E-05, 1.75434E-05, 1.08844E-04
68, 2.79111E-03, 1.28638E-03, 1.18521E-03, 2.99726E-04, 2.49084E-05, 2.40910E-05, 1.74550E-05, 1.10354E-04
69, 2.80647E-03, 1.31001E-03, 1.18813E-03, 3.00259E-04, 2.47240E-05, 2.40211E-05, 1.73672E-05, 1.12229E-04
70, 2.80825E-03, 1.33154E-03, 1.18656E-03, 3.00835E-04, 2.45355E-05, 2.39475E-05, 1.72775E-05, 1.14413E-04
71, 2.79658E-03, 1.35094E-03, 1.18053E-03, 3.01391E-04, 2.43455E-05, 2.38724E-05, 1.71835E-05, 1.16839E-04
72, 2.77170E-03, 1.36817E-03, 1.17007E-03, 3.01857E-04, 2.41586E-05, 2.37983E-05, 1.70947E-05, 1.19431E-04
73, 2.73392E-03, 1.38321E-03, 1.15526E-03, 3.02160E-04, 2.39853E-05, 2.37246E-05, 1.70153E-05, 1.22111E-04
74, 2.78795E-03, 1.39605E-03, 1.13621E-03, 3.02223E-04, 2.38247E-05, 2.36466E-05, 1.69310E-05, 1.24797E-04
75, 2.84796E-03, 1.40670E-03, 1.11305E-03, 3.02020E-04, 2.36704E-05, 2.35734E-05, 1.68431E-05, 1.27403E-04
76, 2.89658E-03, 1.41515E-03, 1.08596E-03, 3.02338E-04, 2.35211E-05, 2.35039E-05, 1.67507E-05, 1.29850E-04
77, 2.93353E-03, 1.42143E-03, 1.05512E-03, 3.02261E-04, 2.33942E-05, 2.34301E-05, 1.66567E-05, 1.32060E-04
78, 2.95860E-03, 1.42555E-03, 1.02076E-03, 3.01722E-04, 2.32609E-05, 2.33509E-05, 1.65609E-05, 1.33959E-04
79, 2.97169E-03, 1.42756E-03, 9.83108E-04, 3.00665E-04, 2.31185E-05, 2.32673E-05, 1.64655E-05, 1.35483E-04
80, 2.97276E-03, 1.42750E-03, 9.42434E-04, 2.99043E-04, 2.29736E-05, 2.31805E-05, 1.63715E-05, 1.36578E-04
81, 2.96188E-03, 1.42540E-03, 8.99013E-04, 2.96820E-04, 2.28302E-05, 2.30927E-05, 1.62772E-05, 1.37201E-04
82, 2.93918E-03, 1.42134E-03, 8.53132E-04, 2.93972E-04, 2.26867E-05, 2.30072E-05, 1.61893E-05, 1.37319E-04
83, 2.90485E-03, 1.41878E-03, 8.05093E-04, 2.90488E-04, 2.25518E-05, 2.29243E-05, 1.61010E-05, 1.36911E-04
84, 2.85919E-03, 1.41715E-03, 7.55205E-04, 2.86366E-04, 2.24196E-05, 2.28441E-05, 1.60125E-05, 1.35972E-04
85, 2.80253E-03, 1.41345E-03, 7.33396E-04, 2.81620E-04, 2.23265E-05, 2.27612E-05, 1.59256E-05, 1.34504E-04
86, 2.73530E-03, 1.40773E-03, 7.47385E-04, 2.80031E-04, 2.22296E-05, 2.26817E-05, 1.58361E-05, 1.32524E-04
87, 2.65794E-03, 1.40007E-03, 7.58859E-04, 2.78075E-04, 2.21285E-05, 2.26012E-05, 1.57462E-05, 1.30058E-04
88, 2.57099E-03, 1.39055E-03, 7.67820E-04, 2.75573E-04, 2.20333E-05, 2.25211E-05, 1.56570E-05, 1.27142E-04
89, 2.47502E-03, 1.37924E-03, 7.74284E-04, 2.72569E-04, 2.19391E-05, 2.24401E-05, 1.55680E-05, 1.23819E-04
90, 2.37062E-03, 1.39649E-03, 7.86695E-04, 2.69113E-04, 2.18406E-05, 2.23572E-05, 1.54786E-05, 1.20138E-04
91, 2.25845E-03, 1.44438E-03, 7.95133E-04, 2.65263E-04, 2.17414E-05, 2.22711E-05, 1.53882E-05, 1.16155E-04
92, 2.13918E-03, 1.48929E-03, 7.99487E-04, 2.61077E-04, 2.16441E-05, 2.21863E-05, 1.52974E-05, 1.11927E-04
93, 2.01352E-03, 1.53110E-03, 7.99836E-04, 2.56617E-04, 2.15439E-05, 2.20986E-05, 1.52044E-05, 1.07515E-04
94, 1.88219E-03, 1.56969E-03, 7.96285E-04, 2.52663E-04, 2.14402E-05, 2.20060E-05, 1.51100E-05, 1.02979E-04
95, 1.84820E-03, 1.60496E-03, 7.88959E-04, 2.48917E-04, 2.13470E-05, 2.19150E-05, 1.50150E-05, 9.83788E-05
96, 1.86473E-03, 1.63683E-03, 7.78005E-04, 2.45069E-04, 2.12667E-05, 2.18209E-05, 1.49201E-05, 9.37713E-05
97, 1.87315E-03, 1.66525E-03, 7.63589E-04, 2.41170E-04, 2.11935E-05, 2.17262E-05, 1.48339E-05, 8.92112E-05
98, 1.87367E-03, 1.69018E-03, 7.45892E-04, 2.37271E-04, 2.11144E-05, 2.16305E-05, 1.47543E-05, 8.47455E-05
99, 1.95513E-03, 1.71159E-03, 7.25115E-04, 2.33414E-04, 2.10380E-05, 2.15362E-05, 1.46797E-05, 8.04174E-05
100, 2.04170E-03, 1.72948E-03, 7.19664E-04, 2.29640E-04, 2.09595E-05, 2.14435E-05, 1.46118E-05, 7.62648E-05
