time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
83, 1.85334E-03, 1.46229E-03, 7.19699E-04, 7.26970E-05
84, 1.69930E-03, 1.44284E-03, 7.21708E-04, 5.27826E-05
85, 1.53801E-03, 1.41592E-03, 7.21766E-04, 5.13598E-05
86, 1.55535E-03, 1.38189E-03, 7.19923E-04, 5.97190E-05
87, 1.60826E-03, 1.34117E-03, 7.18562E-04, 6.59435E-05
88, 1.65962E-03, 1.31434E-03, 7.27205E-04, 6.97784E-05
89, 1.70808E-03, 1.30881E-03, 7.33881E-04, 7.28421E-05
90, 1.75225E-03, 1.29614E-03, 7.38590E-04, 7.47685E-05
91, 1.79081E-03, 1.27645E-03, 7.41359E-04, 7.44917E-05
92, 1.82250E-03, 1.24994E-03, 7.42237E-04, 7.21703E-05
93, 1.84623E-03, 1.21688E-03, 7.41293E-04, 7.07004E-05
94, 1.94693E-03, 1.17757E-03, 7.38615E-04, 7.24645E-05
95, 2.04537E-03, 1.17041E-03, 7.34305E-04, 7.20605E-05
96, 2.13564E-03, 1.16445E-03, 7.34898E-04, 6.98279E-05
97, 2.21697E-03, 1.16020E-03, 7.40881E-04, 6.61438E-05
98, 2.28858E-03, 1.17861E-03, 7.45091E-04, 6.13990E-05
99, 2.34973E-03, 1.19184E-03, 7.63366E-04, 5.59751E-05
100, 2.39978E-03, 1.20024E-03, 7.79690E-04, 5.57365E-05
101, 2.43818E-03, 1.20418E-03, 7.96599E-04, 5.91245E-05
102, 2.46447E-03, 1.20405E-03, 8.29049E-04, 6.07548E-05
103, 2.47836E-03, 1.20026E-03, 8.57845E-04, 6.05135E-05
104, 2.47966E-03, 1.19321E-03, 8.82849E-04, 5.83683E-05
105, 2.46834E-03, 1.18675E-03, 9.03972E-04, 5.43689E-05
106, 2.44450E-03, 1.19056E-03, 9.21173E-04, 4.86428E-05
107, 2.40836E-03, 1.19100E-03, 9.34460E-04, 4.13886E-05
108, 2.36031E-03, 1.18802E-03, 9.43880E-04, 3.48494E-05
109, 2.30080E-03, 1.18162E-03, 9.65825E-04, 3.15029E-05
110, 2.23045E-03, 1.17180E-03, 9.95992E-04, 3.20328E-05
111, 2.14991E-03, 1.17193E-03, 1.02180E-03, 3.22616E-05
112, 2.05996E-03, 1.17999E-03, 1.04313E-03, 3.24809E-05
113, 1.96140E-03, 1.18474E-03, 1.05991E-03, 3.25971E-05
114, 1.85513E-03, 1.18613E-03, 1.07215E-03, 3.24788E-05
115, 1.74203E-03, 1.19705E-03, 1.07990E-03, 3.58322E-05
116, 1.62305E-03, 1.20976E-03, 1.10232E-03, 4.19150E-05
117, 1.49911E-03, 1.22032E-03, 1.12723E-03, 4.73234E-05
118, 1.37114E-03, 1.22872E-03, 1.14790E-03, 5.15126E-05
119, 1.31609E-03, 1.23494E-03, 1.16421E-03, 5.42247E-05
120, 1.29797E-03, 1.23897E-03, 1.17607E-03, 5.54856E-05
121, 1.27237E-03, 1.24079E-03, 1.18347E-03, 5.53726E-05
122, 1.23994E-03, 1.24036E-03, 1.20551E-03, 5.40055E-05
123, 1.20135E-03, 1.23765E-03, 1.22958E-03, 5.64441E-05
124, 1.15726E-03, 1.23263E-03, 1.24985E-03, 5.93949E-05
125, 1.10837E-03, 1.22524E-03, 1.26618E-03, 6.08775E-05
126, 1.05535E-03, 1.21545E-03, 1.27847E-03, 6.07426E-05
127, 9.98855E-04, 1.20677E-03, 1.28665E-03, 5.89089E-05
128, 9.39526E-04, 1.19622E-03, 1.29071E-03, 5.53691E-05
129, 8.77970E-04, 1.18355E-03, 1.29065E-03, 5.01918E-05
130, 8.14760E-04, 1.16869E-03, 1.28654E-03, 4.35185E-05
131, 7.83069E-04, 1.15161E-03, 1.27847E-03, 3.55571E-05
132, 8.01723E-04, 1.13224E-03, 1.26656E-03, 2.90508E-05
133, 8.49549E-04, 1.11055E-03, 1.25096E-03, 2.84570E-05
134, 8.96905E-04, 1.08652E-03, 1.25015E-03, 2.76373E-05
135, 9.42456E-04, 1.06010E-03, 1.25418E-03, 2.69736E-05
136, 9.86128E-04, 1.03130E-03, 1.25532E-03, 2.62934E-05
137, 1.02787E-03, 1.00602E-03, 1.25358E-03, 2.54169E-05
138, 1.06766E-03, 9.83243E-04, 1.24902E-03, 3.07481E-05
139, 1.10549E-03, 9.94174E-04, 1.26655E-03, 3.79489E-05
140, 1.14135E-03, 1.00269E-03, 1.30026E-03, 4.38381E-05
141, 1.19242E-03, 1.00810E-03, 1.33077E-03, 4.82930E-05
142, 1.25760E-03, 1.01034E-03, 1.35804E-03, 5.12518E-05
143, 1.31863E-03, 1.00938E-03, 1.38209E-03, 5.27119E-05
144, 1.37557E-03, 1.00519E-03, 1.40291E-03, 5.27259E-05
145, 1.42850E-03, 9.97772E-04, 1.42053E-03, 5.13949E-05
146, 1.47747E-03, 9.87557E-04, 1.43499E-03, 4.88600E-05
147, 1.52254E-03, 9.77135E-04, 1.44633E-03, 4.52931E-05
148, 1.56374E-03, 9.64058E-04, 1.45462E-03, 4.08861E-05
149, 1.60113E-03, 9.62558E-04, 1.45993E-03, 3.58415E-05
150, 1.63475E-03, 9.66045E-04, 1.46233E-03, 3.03621E-05
151, 1.66462E-03, 9.66443E-04, 1.46192E-03, 2.63520E-05
152, 1.69077E-03, 9.63648E-04, 1.45878E-03, 2.36706E-05
153, 1.71325E-03, 9.57574E-04, 1.45301E-03, 2.05898E-05
154, 1.73208E-03, 9.48159E-04, 1.44472E-03, 1.84284E-05
155, 1.74730E-03, 9.35367E-04, 1.43400E-03, 1.88470E-05
156, 1.75894E-03, 9.22928E-04, 1.42097E-03, 1.92266E-05
157, 1.76707E-03, 9.08590E-04, 1.40573E-03, 1.95458E-05
158, 1.77172E-03, 8.91357E-04, 1.38838E-03, 1.97858E-05
159, 1.77334E-03, 8.71253E-04, 1.36904E-03, 1.99626E-05
160, 1.77697E-03, 8.60643E-04, 1.34783E-03, 2.02851E-05
161, 1.77676E-03, 8.96132E-04, 1.32484E-03, 2.04690E-05
162, 1.77284E-03, 9.29532E-04, 1.30019E-03, 2.05107E-05
163, 1.76536E-03, 9.60733E-04, 1.27400E-03, 2.07386E-05
164, 1.75450E-03, 9.89636E-04, 1.24637E-03, 2.15881E-05
165, 1.74043E-03, 1.01615E-03, 1.21741E-03, 2.20839E-05
166, 1.72334E-03, 1.04020E-03, 1.18724E-03, 2.22622E-05
167, 1.70341E-03, 1.07506E-03, 1.15596E-03, 2.21557E-05
168, 1.68084E-03, 1.10737E-03, 1.12369E-03, 2.17925E-05
169, 1.65580E-03, 1.13669E-03, 1.09053E-03, 2.11962E-05
170, 1.62849E-03, 1.16297E-03, 1.05660E-03, 2.05440E-05
171, 1.59907E-03, 1.18615E-03, 1.02199E-03, 1.97227E-05
172, 1.56772E-03, 1.20619E-03, 9.86827E-04, 1.90500E-05
173, 1.53461E-03, 1.22309E-03, 9.51198E-04, 1.97892E-05
174, 1.49988E-03, 1.23683E-03, 9.15209E-04, 2.04298E-05
175, 1.46929E-03, 1.24743E-03, 8.78960E-04, 2.09651E-05
176, 1.45814E-03, 1.25491E-03, 8.42548E-04, 2.13938E-05
177, 1.44542E-03, 1.25931E-03, 8.06066E-04, 2.17198E-05
178, 1.43203E-03, 1.26204E-03, 7.69607E-04, 2.19508E-05
179, 1.42800E-03, 1.26693E-03, 7.33261E-04, 2.20981E-05
180, 1.42203E-03, 1.26878E-03, 6.97113E-04, 2.21748E-05
181, 1.41407E-03, 1.26769E-03, 6.61250E-04, 2.21949E-05
182, 1.40406E-03, 1.26375E-03, 6.25752E-04, 2.21721E-05
183, 1.39194E-03, 1.25711E-03, 5.90699E-04, 2.21187E-05
184, 1.37767E-03, 1.24786E-03, 5.73408E-04, 2.20449E-05
185, 1.36125E-03, 1.23616E-03, 5.75394E-04, 2.19579E-05
186, 1.34264E-03, 1.22213E-03, 5.76503E-04, 2.18617E-05
187, 1.32187E-03, 1.20590E-03, 5.76781E-04, 2.17991E-05
188, 1.29894E-03, 1.18762E-03, 5.76275E-04, 2.17686E-05
189, 1.27388E-03, 1.16743E-03, 5.75038E-04, 2.16985E-05
190, 1.24676E-03, 1.14545E-03, 5.73121E-04, 2.15785E-05
191, 1.21762E-03, 1.12184E-03, 5.70579E-04, 2.13970E-05
192, 1.18655E-03, 1.09673E-03, 5.67467E-04, 2.11424E-05
193, 1.15364E-03, 1.07025E-03, 5.63842E-04, 2.08042E-05
194, 1.11899E-03, 1.04253E-03, 5.59756E-04, 2.03729E-05
195, 1.14421E-03, 1.01370E-03, 5.57478E-04, 1.98415E-05
196, 1.17232E-03, 9.83889E-04, 5.56367E-04, 1.92826E-05
197, 1.19927E-03, 9.53211E-04, 5.54908E-04, 1.86708E-05
198, 1.22501E-03, 9.21783E-04, 5.53120E-04, 1.79705E-05
199, 1.25787E-03, 8.96964E-04, 5.51016E-04, 1.71833E-05
200, 1.29248E-03, 8.75153E-04, 5.48608E-04, 1.63139E-05
201, 1.32566E-03, 8.52694E-04, 5.45904E-04, 1.53699E-05
202, 1.35732E-03, 8.51398E-04, 5.59253E-04, 1.43614E-05
203, 1.38738E-03, 8.63952E-04, 5.71759E-04, 1.33005E-05
204, 1.41575E-03, 8.75127E-04, 5.83169E-04, 1.22010E-05
205, 1.44235E-03, 8.84900E-04, 5.93464E-04, 1.24735E-05
206, 1.46711E-03, 8.93253E-04, 6.02629E-04, 1.36582E-05
207, 1.48995E-03, 9.00174E-04, 6.18302E-04, 1.46615E-05
208, 1.51081E-03, 9.11307E-04, 6.33920E-04, 1.54620E-05
209, 1.52963E-03, 9.24091E-04, 6.48488E-04, 1.60451E-05
210, 1.54635E-03, 9.35490E-04, 6.61986E-04, 1.64023E-05
211, 1.56093E-03, 9.45506E-04, 6.74394E-04, 1.65320E-05
212, 1.57333E-03, 9.54138E-04, 6.85697E-04, 1.64386E-05
213, 1.58350E-03, 9.61388E-04, 6.95882E-04, 1.61322E-05
214, 1.59143E-03, 9.67258E-04, 7.08876E-04, 1.56280E-05
215, 1.59710E-03, 9.71750E-04, 7.26731E-04, 1.49453E-05
216, 1.60779E-03, 9.74868E-04, 7.43642E-04, 1.41068E-05
217, 1.62398E-03, 9.76616E-04, 7.59577E-04, 1.34308E-05
218, 1.63836E-03, 9.77001E-04, 7.74502E-04, 1.39899E-05
219, 1.65087E-03, 9.76032E-04, 7.88388E-04, 1.42861E-05
220, 1.66150E-03, 9.73720E-04, 8.01207E-04, 1.43178E-05
221, 1.67022E-03, 9.70080E-04, 8.12936E-04, 1.40884E-05
222, 1.67700E-03, 9.65129E-04, 8.23551E-04, 1.36068E-05
223, 1.68183E-03, 9.62360E-04, 8.33036E-04, 1.28864E-05
224, 1.68469E-03, 9.64412E-04, 8.41373E-04, 1.19449E-05
225, 1.68559E-03, 9.65147E-04, 8.48552E-04, 1.10265E-05
226, 1.68452E-03, 9.64565E-04, 8.54563E-04, 1.02295E-05
227, 1.68148E-03, 9.78016E-04, 8.59402E-04, 9.29310E-06
228, 1.67649E-03, 9.91964E-04, 8.66349E-04, 8.55537E-06
229, 1.66956E-03, 1.00485E-03, 8.80085E-04, 8.64917E-06
230, 1.66071E-03, 1.01667E-03, 8.92976E-04, 8.74098E-06
231, 1.64997E-03, 1.02740E-03, 9.04988E-04, 8.82964E-06
232, 1.63737E-03, 1.03703E-03, 9.16086E-04, 8.91329E-06
233, 1.62295E-03, 1.04556E-03, 9.26238E-04, 8.98951E-06
234, 1.60674E-03, 1.05297E-03, 9.35413E-04, 9.05550E-06
235, 1.58879E-03, 1.05927E-03, 9.43585E-04, 9.27064E-06
236, 1.56916E-03, 1.06678E-03, 9.50727E-04, 9.49351E-06
237, 1.54789E-03, 1.07526E-03, 9.56816E-04, 9.78177E-06
238, 1.52506E-03, 1.08285E-03, 9.61832E-04, 1.02196E-05
239, 1.50072E-03, 1.08954E-03, 9.65758E-04, 1.06261E-05
240, 1.47495E-03, 1.09531E-03, 9.68579E-04, 1.09972E-05
241, 1.44782E-03, 1.10014E-03, 9.70283E-04, 1.13767E-05
242, 1.41941E-03, 1.10402E-03, 9.70862E-04, 1.17106E-05
243, 1.39776E-03, 1.10694E-03, 9.70310E-04, 1.18686E-05
244, 1.37641E-03, 1.11204E-03, 9.68626E-04, 1.20725E-05
245, 1.35361E-03, 1.12082E-03, 9.65810E-04, 1.22322E-05
246, 1.33390E-03, 1.12877E-03, 9.61868E-04, 1.23481E-05
247, 1.32029E-03, 1.13585E-03, 9.56807E-04, 1.24214E-05
248, 1.30531E-03, 1.14203E-03, 9.50639E-04, 1.24537E-05
249, 1.28902E-03, 1.14728E-03, 9.43379E-04, 1.24469E-05
250, 1.27145E-03, 1.15159E-03, 9.35045E-04, 1.24035E-05
