time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 9.69566E-06, 7.00839E-06, 9.31635E-06, 3.55664E-04
2, 1.01881E-05, 7.38978E-06, 8.69776E-06, 2.09693E-04
3, 1.07051E-05, 7.96104E-06, 8.67051E-06, 1.45289E-04
4, 1.11635E-05, 8.58654E-06, 8.76027E-06, 1.21947E-04
5, 1.14991E-05, 9.14458E-06, 8.87407E-06, 9.84260E-05
6, 1.16934E-05, 9.55630E-06, 8.98070E-06, 9.79729E-05
7, 1.17654E-05, 9.78710E-06, 9.03939E-06, 1.20767E-04
8, 1.17543E-05, 9.83644E-06, 9.02894E-06, 1.40279E-04
9, 1.17026E-05, 9.72722E-06, 8.96913E-06, 1.45950E-04
10, 1.16446E-05, 9.49687E-06, 8.87098E-06, 1.40477E-04
11, 1.16012E-05, 9.18969E-06, 8.76196E-06, 1.27701E-04
12, 1.15804E-05, 8.85055E-06, 8.66686E-06, 1.08440E-04
13, 1.15810E-05, 8.52019E-06, 8.59750E-06, 9.97244E-05
14, 1.15969E-05, 8.23237E-06, 8.55567E-06, 1.08478E-04
15, 1.16209E-05, 8.01258E-06, 8.53735E-06, 1.09138E-04
16, 1.16477E-05, 7.87756E-06, 8.53642E-06, 1.02411E-04
17, 1.16747E-05, 7.83527E-06, 8.55586E-06, 9.35786E-05
18, 1.17021E-05, 7.88512E-06, 8.58158E-06, 9.77161E-05
19, 1.17323E-05, 8.01846E-06, 8.60769E-06, 1.05237E-04
20, 1.17690E-05, 8.21979E-06, 8.63223E-06, 1.06441E-04
21, 1.18152E-05, 8.46841E-06, 8.65446E-06, 1.02000E-04
22, 1.18728E-05, 8.74077E-06, 8.67413E-06, 9.30138E-05
23, 1.19413E-05, 9.01295E-06, 8.69720E-06, 8.08094E-05
24, 1.20182E-05, 9.26303E-06, 8.72046E-06, 6.67490E-05
25, 1.20986E-05, 9.47311E-06, 8.73783E-06, 7.60652E-05
26, 1.21768E-05, 9.63049E-06, 8.74762E-06, 8.77245E-05
27, 1.22466E-05, 9.72826E-06, 8.74907E-06, 9.45539E-05
28, 1.23030E-05, 9.76514E-06, 8.74254E-06, 9.65992E-05
29, 1.23425E-05, 9.74471E-06, 8.72948E-06, 9.41468E-05
30, 1.23641E-05, 9.67442E-06, 8.71214E-06, 8.76941E-05
31, 1.23690E-05, 9.56431E-06, 8.69317E-06, 7.79151E-05
32, 1.23603E-05, 9.42579E-06, 8.67512E-06, 6.56174E-05
33, 1.23429E-05, 9.27058E-06, 8.66001E-06, 5.16918E-05
34, 1.23224E-05, 9.10977E-06, 8.64906E-06, 3.70552E-05
35, 1.23046E-05, 8.95310E-06, 8.64257E-06, 3.68166E-05
36, 1.22948E-05, 8.80858E-06, 8.64001E-06, 3.58280E-05
37, 1.22977E-05, 8.68215E-06, 8.64016E-06, 3.60728E-05
38, 1.23165E-05, 8.57764E-06, 8.64148E-06, 3.91663E-05
39, 1.23532E-05, 8.49682E-06, 8.64234E-06, 4.31835E-05
40, 1.24086E-05, 8.43962E-06, 8.64134E-06, 4.48791E-05
41, 1.24820E-05, 8.40434E-06, 8.63746E-06, 4.52623E-05
42, 1.25717E-05, 8.38807E-06, 8.63021E-06, 4.74215E-05
43, 1.26750E-05, 8.38698E-06, 8.61956E-06, 5.00526E-05
44, 1.27886E-05, 8.39676E-06, 8.60598E-06, 5.17833E-05
45, 1.29086E-05, 8.41297E-06, 8.59018E-06, 5.25229E-05
46, 1.30307E-05, 8.43139E-06, 8.57310E-06, 5.22149E-05
47, 1.31509E-05, 8.45714E-06, 8.55567E-06, 5.08400E-05
48, 1.32655E-05, 8.49695E-06, 8.53873E-06, 4.84173E-05
49, 1.33712E-05, 8.52799E-06, 8.52295E-06, 4.50043E-05
50, 1.34655E-05, 8.54881E-06, 8.50875E-06, 4.06948E-05
51, 1.35466E-05, 8.55915E-06, 8.49635E-06, 3.56161E-05
52, 1.36139E-05, 8.55986E-06, 8.48573E-06, 3.45933E-05
53, 1.36673E-05, 8.55283E-06, 8.47672E-06, 3.36618E-05
54, 1.37077E-05, 8.54070E-06, 8.46906E-06, 3.20596E-05
55, 1.37367E-05, 8.52670E-06, 8.46240E-06, 3.02472E-05
56, 1.37561E-05, 8.51435E-06, 8.45646E-06, 3.25706E-05
57, 1.37681E-05, 8.50719E-06, 8.45097E-06, 3.41531E-05
58, 1.37749E-05, 8.50849E-06, 8.44579E-06, 3.48551E-05
59, 1.37785E-05, 8.52102E-06, 8.44088E-06, 3.45840E-05
60, 1.37808E-05, 8.54685E-06, 8.43629E-06, 3.33025E-05
61, 1.37831E-05, 8.58717E-06, 8.43220E-06, 3.20799E-05
62, 1.37863E-05, 8.64220E-06, 8.42881E-06, 3.05977E-05
63, 1.37911E-05, 8.71122E-06, 8.42639E-06, 2.83658E-05
64, 1.37975E-05, 8.79255E-06, 8.42516E-06, 2.55227E-05
65, 1.38054E-05, 8.88371E-06, 8.42532E-06, 2.74383E-05
66, 1.38145E-05, 8.98155E-06, 8.42696E-06, 2.87138E-05
67, 1.38244E-05, 9.08250E-06, 8.43009E-06, 2.91416E-05
68, 1.38346E-05, 9.18275E-06, 8.43456E-06, 2.88141E-05
69, 1.38448E-05, 9.27853E-06, 8.44014E-06, 2.80288E-05
70, 1.38549E-05, 9.36630E-06, 8.44644E-06, 3.33127E-05
71, 1.38650E-05, 9.44296E-06, 8.45304E-06, 4.05020E-05
72, 1.38754E-05, 9.50604E-06, 8.45941E-06, 4.66219E-05
73, 1.38868E-05, 9.55373E-06, 8.46505E-06, 5.14539E-05
74, 1.38999E-05, 9.58503E-06, 8.46943E-06, 5.48420E-05
75, 1.39156E-05, 9.59966E-06, 8.47208E-06, 5.66965E-05
76, 1.39349E-05, 9.59809E-06, 8.47263E-06, 5.69927E-05
77, 1.39589E-05, 9.58139E-06, 8.47077E-06, 5.57676E-05
78, 1.39883E-05, 9.55116E-06, 8.46630E-06, 5.31127E-05
79, 1.40240E-05, 9.50936E-06, 8.45913E-06, 4.91658E-05
80, 1.40664E-05, 9.45820E-06, 8.44930E-06, 4.41009E-05
81, 1.41159E-05, 9.39997E-06, 8.43690E-06, 3.81186E-05
82, 1.41723E-05, 9.33696E-06, 8.42213E-06, 3.14357E-05
