time_step, rms_u, rms_v, rms_w, rms_p
83, 3.60858E-01, 4.60060E-01, 6.19482E-01, 2.18533E-01
84, 3.59709E-01, 4.60588E-01, 6.19291E-01, 2.17968E-01
85, 3.58562E-01, 4.61132E-01, 6.19094E-01, 2.17412E-01
86, 3.57416E-01, 4.61691E-01, 6.18892E-01, 2.16864E-01
87, 3.56271E-01, 4.62267E-01, 6.18684E-01, 2.16325E-01
88, 3.55129E-01, 4.62858E-01, 6.18471E-01, 2.15797E-01
89, 3.53988E-01, 4.63465E-01, 6.18251E-01, 2.15280E-01
90, 3.52850E-01, 4.64087E-01, 6.18025E-01, 2.14774E-01
91, 3.51713E-01, 4.64725E-01, 6.17792E-01, 2.14280E-01
92, 3.50579E-01, 4.65379E-01, 6.17553E-01, 2.13799E-01
93, 3.49448E-01, 4.66047E-01, 6.17307E-01, 2.13332E-01
94, 3.48318E-01, 4.66731E-01, 6.17055E-01, 2.12878E-01
95, 3.47192E-01, 4.67430E-01, 6.16795E-01, 2.12439E-01
96, 3.46068E-01, 4.68144E-01, 6.16527E-01, 2.12014E-01
97, 3.44948E-01, 4.68872E-01, 6.16252E-01, 2.11605E-01
98, 3.43830E-01, 4.69615E-01, 6.15969E-01, 2.11212E-01
99, 3.42716E-01, 4.70372E-01, 6.15679E-01, 2.10835E-01
100, 3.41606E-01, 4.71144E-01, 6.15380E-01, 2.10474E-01
101, 3.40498E-01, 4.71929E-01, 6.15074E-01, 2.10131E-01
102, 3.39395E-01, 4.72728E-01, 6.14759E-01, 2.09804E-01
103, 3.38296E-01, 4.73541E-01, 6.14435E-01, 2.09495E-01
104, 3.37201E-01, 4.74366E-01, 6.14103E-01, 2.09204E-01
105, 3.36111E-01, 4.75205E-01, 6.13762E-01, 2.08931E-01
106, 3.35025E-01, 4.76057E-01, 6.13412E-01, 2.08677E-01
107, 3.33944E-01, 4.76921E-01, 6.13053E-01, 2.08442E-01
108, 3.32868E-01, 4.77797E-01, 6.12685E-01, 2.08225E-01
109, 3.31798E-01, 4.78684E-01, 6.12307E-01, 2.08029E-01
110, 3.30734E-01, 4.79584E-01, 6.11920E-01, 2.07852E-01
111, 3.29675E-01, 4.80495E-01, 6.11524E-01, 2.07695E-01
112, 3.28623E-01, 4.81416E-01, 6.11117E-01, 2.07559E-01
113, 3.27578E-01, 4.82348E-01, 6.10702E-01, 2.07443E-01
114, 3.26539E-01, 4.83291E-01, 6.10276E-01, 2.07348E-01
115, 3.25507E-01, 4.84243E-01, 6.09841E-01, 2.07275E-01
116, 3.24483E-01, 4.85205E-01, 6.09395E-01, 2.07223E-01
117, 3.23467E-01, 4.86176E-01, 6.08940E-01, 2.07193E-01
118, 3.22459E-01, 4.87156E-01, 6.08475E-01, 2.07184E-01
119, 3.21459E-01, 4.88144E-01, 6.08000E-01, 2.07197E-01
120, 3.20468E-01, 4.89140E-01, 6.07515E-01, 2.07231E-01
121, 3.19486E-01, 4.90144E-01, 6.07020E-01, 2.07287E-01
122, 3.18514E-01, 4.91155E-01, 6.06516E-01, 2.07365E-01
123, 3.17551E-01, 4.92172E-01, 6.06001E-01, 2.07463E-01
124, 3.16599E-01, 4.93197E-01, 6.05477E-01, 2.07582E-01
125, 3.15656E-01, 4.94227E-01, 6.04943E-01, 2.07721E-01
126, 3.14725E-01, 4.95263E-01, 6.04400E-01, 2.07880E-01
127, 3.13804E-01, 4.96304E-01, 6.03848E-01, 2.08057E-01
128, 3.12894E-01, 4.97350E-01, 6.03286E-01, 2.08253E-01
129, 3.11996E-01, 4.98401E-01, 6.02716E-01, 2.08466E-01
130, 3.11110E-01, 4.99455E-01, 6.02137E-01, 2.08696E-01
131, 3.10235E-01, 5.00513E-01, 6.01549E-01, 2.08941E-01
132, 3.09372E-01, 5.01574E-01, 6.00953E-01, 2.09201E-01
133, 3.08522E-01, 5.02637E-01, 6.00349E-01, 2.09476E-01
134, 3.07685E-01, 5.03703E-01, 5.99737E-01, 2.09762E-01
135, 3.06860E-01, 5.04771E-01, 5.99118E-01, 2.10061E-01
136, 3.06048E-01, 5.05841E-01, 5.98492E-01, 2.10371E-01
137, 3.05249E-01, 5.06911E-01, 5.97858E-01, 2.10691E-01
138, 3.04463E-01, 5.07982E-01, 5.97219E-01, 2.11020E-01
139, 3.03690E-01, 5.09053E-01, 5.96573E-01, 2.11357E-01
140, 3.02931E-01, 5.10124E-01, 5.95922E-01, 2.11702E-01
141, 3.02185E-01, 5.11194E-01, 5.95265E-01, 2.12053E-01
142, 3.01453E-01, 5.12263E-01, 5.94603E-01, 2.12411E-01
143, 3.00734E-01, 5.13330E-01, 5.93937E-01, 2.12773E-01
144, 3.00029E-01, 5.14396E-01, 5.93266E-01, 2.13140E-01
145, 2.99338E-01, 5.15459E-01, 5.92592E-01, 2.13511E-01
146, 2.98661E-01, 5.16520E-01, 5.91914E-01, 2.13885E-01
147, 2.97997E-01, 5.17577E-01, 5.91233E-01, 2.14262E-01
148, 2.97347E-01, 5.18631E-01, 5.90550E-01, 2.14641E-01
149, 2.96712E-01, 5.19681E-01, 5.89864E-01, 2.15022E-01
150, 2.96090E-01, 5.20727E-01, 5.89177E-01, 2.15405E-01
151, 2.95482E-01, 5.21767E-01, 5.88488E-01, 2.15788E-01
152, 2.94888E-01, 5.22803E-01, 5.87799E-01, 2.16172E-01
153, 2.94308E-01, 5.23834E-01, 5.87109E-01, 2.16557E-01
154, 2.93742E-01, 5.24858E-01, 5.86419E-01, 2.16942E-01
155, 2.93190E-01, 5.25877E-01, 5.85729E-01, 2.17326E-01
156, 2.92652E-01, 5.26889E-01, 5.85040E-01, 2.17710E-01
157, 2.92128E-01, 5.27894E-01, 5.84352E-01, 2.18094E-01
158, 2.91618E-01, 5.28892E-01, 5.83666E-01, 2.18476E-01
159, 2.91122E-01, 5.29882E-01, 5.82982E-01, 2.18858E-01
160, 2.90640E-01, 5.30864E-01, 5.82300E-01, 2.19238E-01
161, 2.90172E-01, 5.31839E-01, 5.81621E-01, 2.19618E-01
162, 2.89718E-01, 5.32804E-01, 5.80946E-01, 2.19995E-01
163, 2.89277E-01, 5.33762E-01, 5.80274E-01, 2.20372E-01
164, 2.88851E-01, 5.34710E-01, 5.79605E-01, 2.20747E-01
165, 2.88438E-01, 5.35648E-01, 5.78942E-01, 2.21120E-01
166, 2.88040E-01, 5.36577E-01, 5.78283E-01, 2.21491E-01
167, 2.87655E-01, 5.37497E-01, 5.77629E-01, 2.21861E-01
168, 2.87284E-01, 5.38406E-01, 5.76980E-01, 2.22229E-01
169, 2.86926E-01, 5.39304E-01, 5.76338E-01, 2.22595E-01
170, 2.86583E-01, 5.40193E-01, 5.75701E-01, 2.22960E-01
171, 2.86253E-01, 5.41070E-01, 5.75071E-01, 2.23323E-01
172, 2.85938E-01, 5.41937E-01, 5.74447E-01, 2.23684E-01
173, 2.85636E-01, 5.42792E-01, 5.73831E-01, 2.24043E-01
174, 2.85348E-01, 5.43636E-01, 5.73222E-01, 2.24401E-01
175, 2.85074E-01, 5.44468E-01, 5.72621E-01, 2.24757E-01
176, 2.84813E-01, 5.45289E-01, 5.72027E-01, 2.25112E-01
177, 2.84567E-01, 5.46097E-01, 5.71442E-01, 2.25465E-01
178, 2.84335E-01, 5.46894E-01, 5.70865E-01, 2.25816E-01
179, 2.84117E-01, 5.47678E-01, 5.70297E-01, 2.26166E-01
180, 2.83913E-01, 5.48451E-01, 5.69737E-01, 2.26515E-01
181, 2.83723E-01, 5.49210E-01, 5.69187E-01, 2.26862E-01
182, 2.83548E-01, 5.49958E-01, 5.68647E-01, 2.27208E-01
183, 2.83387E-01, 5.50692E-01, 5.68115E-01, 2.27552E-01
184, 2.83240E-01, 5.51414E-01, 5.67594E-01, 2.27896E-01
185, 2.83107E-01, 5.52123E-01, 5.67083E-01, 2.28237E-01
186, 2.82989E-01, 5.52819E-01, 5.66581E-01, 2.28577E-01
187, 2.82886E-01, 5.53502E-01, 5.66091E-01, 2.28916E-01
188, 2.82797E-01, 5.54172E-01, 5.65611E-01, 2.29254E-01
189, 2.82722E-01, 5.54829E-01, 5.65141E-01, 2.29589E-01
190, 2.82662E-01, 5.55472E-01, 5.64683E-01, 2.29924E-01
191, 2.82617E-01, 5.56102E-01, 5.64235E-01, 2.30256E-01
192, 2.82586E-01, 5.56719E-01, 5.63799E-01, 2.30587E-01
193, 2.82569E-01, 5.57322E-01, 5.63374E-01, 2.30916E-01
194, 2.82567E-01, 5.57912E-01, 5.62961E-01, 2.31243E-01
195, 2.82579E-01, 5.58488E-01, 5.62560E-01, 2.31567E-01
196, 2.82606E-01, 5.59051E-01, 5.62170E-01, 2.31890E-01
197, 2.82646E-01, 5.59599E-01, 5.61792E-01, 2.32210E-01
198, 2.82701E-01, 5.60134E-01, 5.61426E-01, 2.32528E-01
199, 2.82770E-01, 5.60655E-01, 5.61072E-01, 2.32843E-01
200, 2.82852E-01, 5.61162E-01, 5.60730E-01, 2.33155E-01
201, 2.82949E-01, 5.61655E-01, 5.60401E-01, 2.33465E-01
202, 2.83059E-01, 5.62134E-01, 5.60083E-01, 2.33771E-01
203, 2.83183E-01, 5.62599E-01, 5.59778E-01, 2.34074E-01
204, 2.83320E-01, 5.63049E-01, 5.59486E-01, 2.34374E-01
205, 2.83471E-01, 5.63485E-01, 5.59205E-01, 2.34671E-01
206, 2.83635E-01, 5.63907E-01, 5.58937E-01, 2.34963E-01
207, 2.83811E-01, 5.64314E-01, 5.58682E-01, 2.35252E-01
208, 2.84001E-01, 5.64707E-01, 5.58438E-01, 2.35537E-01
209, 2.84203E-01, 5.65085E-01, 5.58207E-01, 2.35817E-01
210, 2.84417E-01, 5.65449E-01, 5.57988E-01, 2.36094E-01
211, 2.84644E-01, 5.65798E-01, 5.57782E-01, 2.36366E-01
212, 2.84883E-01, 5.66133E-01, 5.57587E-01, 2.36633E-01
213, 2.85133E-01, 5.66452E-01, 5.57405E-01, 2.36896E-01
214, 2.85395E-01, 5.66757E-01, 5.57234E-01, 2.37153E-01
215, 2.85668E-01, 5.67047E-01, 5.57076E-01, 2.37406E-01
216, 2.85952E-01, 5.67323E-01, 5.56930E-01, 2.37654E-01
217, 2.86247E-01, 5.67583E-01, 5.56795E-01, 2.37896E-01
218, 2.86553E-01, 5.67829E-01, 5.56672E-01, 2.38134E-01
219, 2.86869E-01, 5.68060E-01, 5.56561E-01, 2.38365E-01
220, 2.87195E-01, 5.68276E-01, 5.56461E-01, 2.38591E-01
221, 2.87531E-01, 5.68477E-01, 5.56373E-01, 2.38812E-01
222, 2.87877E-01, 5.68663E-01, 5.56296E-01, 2.39027E-01
223, 2.88232E-01, 5.68835E-01, 5.56230E-01, 2.39236E-01
224, 2.88596E-01, 5.68992E-01, 5.56175E-01, 2.39439E-01
225, 2.88970E-01, 5.69134E-01, 5.56132E-01, 2.39636E-01
226, 2.89352E-01, 5.69262E-01, 5.56099E-01, 2.39828E-01
227, 2.89743E-01, 5.69375E-01, 5.56077E-01, 2.40013E-01
228, 2.90143E-01, 5.69474E-01, 5.56066E-01, 2.40192E-01
229, 2.90551E-01, 5.69558E-01, 5.56065E-01, 2.40366E-01
230, 2.90968E-01, 5.69627E-01, 5.56075E-01, 2.40533E-01
231, 2.91394E-01, 5.69682E-01, 5.56095E-01, 2.40695E-01
232, 2.91827E-01, 5.69723E-01, 5.56125E-01, 2.40850E-01
233, 2.92269E-01, 5.69749E-01, 5.56165E-01, 2.41000E-01
234, 2.92719E-01, 5.69762E-01, 5.56215E-01, 2.41143E-01
235, 2.93176E-01, 5.69760E-01, 5.56275E-01, 2.41281E-01
236, 2.93642E-01, 5.69743E-01, 5.56344E-01, 2.41413E-01
237, 2.94116E-01, 5.69713E-01, 5.56423E-01, 2.41540E-01
238, 2.94598E-01, 5.69669E-01, 5.56511E-01, 2.41661E-01
239, 2.95088E-01, 5.69611E-01, 5.56608E-01, 2.41777E-01
240, 2.95586E-01, 5.69538E-01, 5.56715E-01, 2.41887E-01
241, 2.96092E-01, 5.69452E-01, 5.56830E-01, 2.41992E-01
242, 2.96606E-01, 5.69353E-01, 5.56954E-01, 2.42092E-01
243, 2.97127E-01, 5.69239E-01, 5.57086E-01, 2.42188E-01
244, 2.97657E-01, 5.69112E-01, 5.57227E-01, 2.42278E-01
245, 2.98193E-01, 5.68971E-01, 5.57376E-01, 2.42364E-01
246, 2.98738E-01, 5.68817E-01, 5.57533E-01, 2.42445E-01
247, 2.99290E-01, 5.68650E-01, 5.57697E-01, 2.42522E-01
248, 2.99850E-01, 5.68469E-01, 5.57869E-01, 2.42595E-01
249, 3.00417E-01, 5.68275E-01, 5.58049E-01, 2.42664E-01
250, 3.00991E-01, 5.68067E-01, 5.58236E-01, 2.42729E-01
