time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
83, 1.57147E-05, 5.44334E-06, 6.04161E-06, 5.83643E-08
84, 1.58841E-05, 5.48533E-06, 6.09707E-06, 5.87549E-08
85, 1.60288E-05, 5.52451E-06, 6.14564E-06, 5.90536E-08
86, 1.61481E-05, 5.56082E-06, 6.18720E-06, 5.92598E-08
87, 1.62414E-05, 5.59419E-06, 6.22161E-06, 5.93727E-08
88, 1.63081E-05, 5.62457E-06, 6.24878E-06, 5.93917E-08
89, 1.63479E-05, 5.65190E-06, 6.26863E-06, 5.93163E-08
90, 1.63602E-05, 5.68911E-06, 6.28108E-06, 5.91459E-08
91, 1.63449E-05, 5.73233E-06, 6.28608E-06, 5.88802E-08
92, 1.63015E-05, 5.77283E-06, 6.28359E-06, 5.85188E-08
93, 1.62300E-05, 5.81052E-06, 6.27361E-06, 5.80615E-08
94, 1.61303E-05, 5.84536E-06, 6.25613E-06, 5.75085E-08
95, 1.60024E-05, 5.87727E-06, 6.23117E-06, 5.68597E-08
96, 1.58462E-05, 5.90618E-06, 6.19877E-06, 5.61157E-08
97, 1.56620E-05, 5.93205E-06, 6.15896E-06, 5.56377E-08
98, 1.54500E-05, 5.95480E-06, 6.11182E-06, 5.56455E-08
99, 1.52104E-05, 5.97438E-06, 6.05744E-06, 5.55855E-08
100, 1.49437E-05, 5.99074E-06, 5.99591E-06, 5.54605E-08
101, 1.49496E-05, 6.00383E-06, 5.92734E-06, 5.52732E-08
102, 1.49390E-05, 6.01360E-06, 5.93184E-06, 5.50264E-08
103, 1.49024E-05, 6.01999E-06, 6.02583E-06, 5.47226E-08
104, 1.48394E-05, 6.02298E-06, 6.11205E-06, 5.43643E-08
105, 1.47497E-05, 6.02252E-06, 6.19029E-06, 5.39538E-08
106, 1.46333E-05, 6.01857E-06, 6.26036E-06, 5.34934E-08
107, 1.44901E-05, 6.01110E-06, 6.32212E-06, 5.29854E-08
108, 1.43199E-05, 6.00009E-06, 6.37539E-06, 5.24317E-08
109, 1.44537E-05, 5.98551E-06, 6.42008E-06, 5.18343E-08
110, 1.47072E-05, 5.97377E-06, 6.45606E-06, 5.11951E-08
111, 1.49415E-05, 5.98203E-06, 6.48325E-06, 5.05160E-08
112, 1.51564E-05, 5.98699E-06, 6.50160E-06, 4.97987E-08
113, 1.53513E-05, 5.98863E-06, 6.51105E-06, 4.90447E-08
114, 1.55261E-05, 5.98687E-06, 6.51158E-06, 4.82560E-08
115, 1.56804E-05, 6.10266E-06, 6.50319E-06, 4.74339E-08
116, 1.58141E-05, 6.23695E-06, 6.48590E-06, 4.65802E-08
117, 1.59270E-05, 6.36994E-06, 6.45974E-06, 4.56963E-08
118, 1.60191E-05, 6.50147E-06, 6.42478E-06, 4.47839E-08
119, 1.60902E-05, 6.63140E-06, 6.38108E-06, 4.38445E-08
120, 1.61403E-05, 6.75959E-06, 6.32874E-06, 4.45750E-08
121, 1.61695E-05, 6.88588E-06, 6.26788E-06, 4.62085E-08
122, 1.61779E-05, 7.01011E-06, 6.36071E-06, 4.77131E-08
123, 1.61656E-05, 7.13215E-06, 6.52790E-06, 4.90806E-08
124, 1.63410E-05, 7.25182E-06, 6.68704E-06, 5.03031E-08
125, 1.65729E-05, 7.36897E-06, 6.83780E-06, 5.13738E-08
126, 1.67841E-05, 7.48345E-06, 6.97987E-06, 5.22865E-08
127, 1.69743E-05, 7.59509E-06, 7.11298E-06, 5.30359E-08
128, 1.71432E-05, 7.70375E-06, 7.23685E-06, 5.36178E-08
129, 1.72905E-05, 7.80925E-06, 7.35124E-06, 5.40287E-08
130, 1.74160E-05, 7.91144E-06, 7.45592E-06, 5.42664E-08
131, 1.75196E-05, 8.01017E-06, 7.55069E-06, 5.43294E-08
132, 1.76012E-05, 8.10527E-06, 7.63537E-06, 5.42174E-08
133, 1.76608E-05, 8.19658E-06, 7.70980E-06, 5.39309E-08
134, 1.76983E-05, 8.28396E-06, 7.77385E-06, 5.34715E-08
135, 1.77137E-05, 8.36724E-06, 7.82738E-06, 5.28420E-08
136, 1.77073E-05, 8.44628E-06, 7.87033E-06, 5.20457E-08
137, 1.76792E-05, 8.52092E-06, 7.90260E-06, 5.10873E-08
138, 1.76295E-05, 8.59102E-06, 7.92416E-06, 4.99720E-08
139, 1.75585E-05, 8.65644E-06, 7.93498E-06, 4.87060E-08
140, 1.74665E-05, 8.71703E-06, 7.93505E-06, 4.88072E-08
141, 1.73538E-05, 8.77266E-06, 7.92439E-06, 4.90568E-08
142, 1.72209E-05, 8.82320E-06, 7.90304E-06, 4.92231E-08
143, 1.70681E-05, 8.86851E-06, 7.87107E-06, 4.93001E-08
144, 1.70266E-05, 8.90849E-06, 7.82855E-06, 4.92824E-08
145, 1.70700E-05, 8.94301E-06, 7.77558E-06, 5.02646E-08
146, 1.70914E-05, 8.97197E-06, 7.71229E-06, 5.16017E-08
147, 1.70905E-05, 8.99534E-06, 7.63882E-06, 5.28706E-08
148, 1.70674E-05, 9.01293E-06, 7.55532E-06, 5.40651E-08
149, 1.70222E-05, 9.02468E-06, 7.46198E-06, 5.51793E-08
150, 1.69549E-05, 9.03050E-06, 7.35900E-06, 5.62074E-08
151, 1.68658E-05, 9.03031E-06, 7.24657E-06, 5.71439E-08
152, 1.67549E-05, 9.02405E-06, 7.12495E-06, 5.79835E-08
153, 1.66906E-05, 9.01167E-06, 6.99436E-06, 5.87215E-08
154, 1.69415E-05, 8.99311E-06, 6.85507E-06, 5.93533E-08
155, 1.71765E-05, 8.96834E-06, 6.70736E-06, 5.98749E-08
156, 1.73950E-05, 8.93733E-06, 6.55152E-06, 6.02827E-08
157, 1.75968E-05, 8.90007E-06, 6.38784E-06, 6.05737E-08
158, 1.77813E-05, 8.85654E-06, 6.21663E-06, 6.07451E-08
159, 1.79484E-05, 8.80674E-06, 6.03824E-06, 6.07950E-08
