time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
83, 2.90485E-03, 1.41878E-03, 8.05093E-04, 2.90488E-04
84, 2.85919E-03, 1.41715E-03, 7.55205E-04, 2.86366E-04
85, 2.80253E-03, 1.41345E-03, 7.33396E-04, 2.81620E-04
86, 2.73530E-03, 1.40773E-03, 7.47385E-04, 2.80031E-04
87, 2.65794E-03, 1.40007E-03, 7.58859E-04, 2.78075E-04
88, 2.57099E-03, 1.39055E-03, 7.67820E-04, 2.75573E-04
89, 2.47502E-03, 1.37924E-03, 7.74284E-04, 2.72569E-04
90, 2.37062E-03, 1.39649E-03, 7.86695E-04, 2.69113E-04
91, 2.25845E-03, 1.44438E-03, 7.95133E-04, 2.65263E-04
92, 2.13918E-03, 1.48929E-03, 7.99487E-04, 2.61077E-04
93, 2.01352E-03, 1.53110E-03, 7.99836E-04, 2.56617E-04
94, 1.88219E-03, 1.56969E-03, 7.96285E-04, 2.52663E-04
95, 1.84820E-03, 1.60496E-03, 7.88959E-04, 2.48917E-04
96, 1.86473E-03, 1.63683E-03, 7.78005E-04, 2.45069E-04
97, 1.87315E-03, 1.66525E-03, 7.63589E-04, 2.41170E-04
98, 1.87367E-03, 1.69018E-03, 7.45892E-04, 2.37271E-04
99, 1.95513E-03, 1.71159E-03, 7.25115E-04, 2.33414E-04
100, 2.04170E-03, 1.72948E-03, 7.19664E-04, 2.29640E-04
101, 2.12089E-03, 1.74386E-03, 7.31314E-04, 2.25979E-04
102, 2.19251E-03, 1.75477E-03, 7.39615E-04, 2.22459E-04
103, 2.25647E-03, 1.76225E-03, 7.44583E-04, 2.19099E-04
104, 2.31269E-03, 1.76635E-03, 7.46257E-04, 2.15913E-04
105, 2.36114E-03, 1.76714E-03, 7.44698E-04, 2.13074E-04
106, 2.40183E-03, 1.76470E-03, 7.39988E-04, 2.10580E-04
107, 2.43481E-03, 1.75911E-03, 7.32229E-04, 2.08652E-04
108, 2.46019E-03, 1.75050E-03, 7.21540E-04, 2.07353E-04
109, 2.47807E-03, 1.73895E-03, 7.08056E-04, 2.06196E-04
110, 2.48862E-03, 1.72461E-03, 6.91929E-04, 2.05164E-04
111, 2.49204E-03, 1.70757E-03, 6.73323E-04, 2.04241E-04
112, 2.48852E-03, 1.68799E-03, 6.52415E-04, 2.03406E-04
113, 2.47832E-03, 1.66599E-03, 6.29392E-04, 2.02639E-04
114, 2.46171E-03, 1.64172E-03, 6.04448E-04, 2.01919E-04
115, 2.43896E-03, 1.61530E-03, 5.77787E-04, 2.01223E-04
116, 2.41039E-03, 1.58689E-03, 5.49615E-04, 2.00782E-04
117, 2.37631E-03, 1.55662E-03, 5.61621E-04, 2.00464E-04
118, 2.33705E-03, 1.52465E-03, 5.72668E-04, 2.00107E-04
119, 2.29296E-03, 1.49111E-03, 5.81477E-04, 2.00363E-04
120, 2.24440E-03, 1.45614E-03, 5.88074E-04, 2.00729E-04
121, 2.19175E-03, 1.41988E-03, 5.92470E-04, 2.00994E-04
122, 2.13534E-03, 1.38248E-03, 5.94705E-04, 2.01142E-04
123, 2.07554E-03, 1.34406E-03, 5.94831E-04, 2.01162E-04
124, 2.01269E-03, 1.30476E-03, 5.92910E-04, 2.01042E-04
125, 1.94717E-03, 1.26470E-03, 5.89014E-04, 2.00792E-04
126, 1.87934E-03, 1.22401E-03, 5.83227E-04, 2.00808E-04
127, 1.80954E-03, 1.18281E-03, 5.75637E-04, 2.00665E-04
128, 1.73812E-03, 1.14122E-03, 5.66343E-04, 2.00362E-04
129, 1.66541E-03, 1.09935E-03, 5.55448E-04, 1.99898E-04
130, 1.59174E-03, 1.05729E-03, 5.43064E-04, 1.99273E-04
131, 1.51742E-03, 1.01516E-03, 5.29305E-04, 1.98491E-04
132, 1.48313E-03, 9.73049E-04, 5.14289E-04, 1.97555E-04
133, 1.46115E-03, 9.31049E-04, 4.98138E-04, 1.96470E-04
134, 1.43488E-03, 8.89245E-04, 4.80977E-04, 1.95242E-04
135, 1.40467E-03, 8.47720E-04, 4.62929E-04, 1.94393E-04
136, 1.37089E-03, 8.06548E-04, 4.44120E-04, 1.94255E-04
137, 1.33391E-03, 7.65800E-04, 4.24675E-04, 1.93979E-04
138, 1.29410E-03, 7.25540E-04, 4.04717E-04, 1.93571E-04
139, 1.25182E-03, 6.85830E-04, 3.84367E-04, 1.93036E-04
140, 1.20744E-03, 6.46724E-04, 3.63745E-04, 1.92381E-04
141, 1.16133E-03, 6.08272E-04, 3.42965E-04, 1.91611E-04
142, 1.11382E-03, 5.70606E-04, 3.22138E-04, 1.90731E-04
143, 1.06525E-03, 5.55256E-04, 3.01370E-04, 1.89747E-04
144, 1.01596E-03, 5.39510E-04, 2.80763E-04, 1.88663E-04
145, 9.66258E-04, 5.23444E-04, 2.60411E-04, 1.87691E-04
146, 9.16436E-04, 5.07133E-04, 2.40405E-04, 1.86852E-04
147, 8.66776E-04, 4.90648E-04, 2.20826E-04, 1.85918E-04
148, 8.17544E-04, 4.74057E-04, 2.01750E-04, 1.84891E-04
149, 7.68982E-04, 4.57425E-04, 1.83248E-04, 1.83774E-04
150, 7.21316E-04, 4.40812E-04, 1.72386E-04, 1.82570E-04
151, 6.74751E-04, 4.24276E-04, 1.71988E-04, 1.81281E-04
152, 6.29474E-04, 4.17099E-04, 1.71807E-04, 1.80437E-04
153, 5.99722E-04, 4.15100E-04, 1.72045E-04, 1.80025E-04
154, 6.04457E-04, 4.12512E-04, 1.72157E-04, 1.79586E-04
155, 6.07130E-04, 4.09352E-04, 1.72144E-04, 1.79477E-04
156, 6.07756E-04, 4.05637E-04, 1.72008E-04, 1.79268E-04
157, 6.06369E-04, 4.01385E-04, 1.71749E-04, 1.78959E-04
158, 6.03004E-04, 3.96616E-04, 1.72881E-04, 1.78549E-04
159, 5.97709E-04, 3.91349E-04, 1.74148E-04, 1.78037E-04
160, 5.90545E-04, 3.86350E-04, 1.75294E-04, 1.77424E-04
161, 5.81585E-04, 3.81232E-04, 1.76317E-04, 1.76709E-04
162, 5.70910E-04, 3.75647E-04, 1.77215E-04, 1.75892E-04
163, 5.58610E-04, 3.71121E-04, 1.77987E-04, 1.74974E-04
164, 5.44782E-04, 3.70153E-04, 1.78633E-04, 1.73954E-04
165, 5.29530E-04, 3.68672E-04, 1.79152E-04, 1.72834E-04
166, 5.12964E-04, 3.66687E-04, 1.79544E-04, 1.71615E-04
167, 4.95198E-04, 3.64208E-04, 1.79810E-04, 1.70380E-04
168, 4.76351E-04, 3.61247E-04, 1.79951E-04, 1.70603E-04
169, 4.56544E-04, 3.57815E-04, 1.79967E-04, 1.70707E-04
170, 4.35900E-04, 3.53925E-04, 1.79860E-04, 1.70692E-04
171, 4.15346E-04, 3.49592E-04, 1.79633E-04, 1.70557E-04
172, 4.14962E-04, 3.44829E-04, 1.79287E-04, 1.70302E-04
173, 4.14893E-04, 3.39653E-04, 1.78825E-04, 1.69927E-04
174, 4.15126E-04, 3.34078E-04, 1.79351E-04, 1.69433E-04
175, 4.15641E-04, 3.28122E-04, 1.80451E-04, 1.68821E-04
176, 4.16417E-04, 3.27203E-04, 1.81428E-04, 1.68091E-04
177, 4.17424E-04, 3.26498E-04, 1.82282E-04, 1.67244E-04
178, 4.18631E-04, 3.25353E-04, 1.83012E-04, 1.66282E-04
179, 4.20003E-04, 3.23770E-04, 1.83618E-04, 1.65207E-04
180, 4.21501E-04, 3.21756E-04, 1.84100E-04, 1.64020E-04
181, 4.28785E-04, 3.19316E-04, 1.84460E-04, 1.63280E-04
182, 4.39489E-04, 3.16457E-04, 1.84697E-04, 1.62738E-04
183, 4.49974E-04, 3.13187E-04, 1.84814E-04, 1.62062E-04
184, 4.60248E-04, 3.09515E-04, 1.84811E-04, 1.61626E-04
185, 4.70317E-04, 3.05450E-04, 1.84691E-04, 1.61579E-04
186, 4.80179E-04, 3.01003E-04, 1.84457E-04, 1.61404E-04
187, 4.89830E-04, 2.96185E-04, 1.84110E-04, 1.61102E-04
188, 4.99261E-04, 2.91007E-04, 1.83653E-04, 1.60674E-04
189, 5.08462E-04, 2.92431E-04, 1.83091E-04, 1.60121E-04
190, 5.17415E-04, 2.95813E-04, 1.82425E-04, 1.59445E-04
191, 5.26104E-04, 2.98819E-04, 1.82447E-04, 1.58647E-04
192, 5.34507E-04, 3.01462E-04, 1.83289E-04, 1.57730E-04
193, 5.42602E-04, 3.03754E-04, 1.84015E-04, 1.56696E-04
194, 5.50365E-04, 3.05709E-04, 1.84624E-04, 1.55808E-04
195, 5.57769E-04, 3.07339E-04, 1.85119E-04, 1.55389E-04
196, 5.64789E-04, 3.08657E-04, 1.85980E-04, 1.54834E-04
197, 5.71395E-04, 3.09677E-04, 1.88689E-04, 1.54146E-04
198, 5.77560E-04, 3.10411E-04, 1.91204E-04, 1.53326E-04
199, 5.83257E-04, 3.10871E-04, 1.93524E-04, 1.52379E-04
200, 5.88457E-04, 3.11069E-04, 1.95647E-04, 1.51307E-04
201, 5.93133E-04, 3.11020E-04, 1.97573E-04, 1.50769E-04
202, 5.97259E-04, 3.10734E-04, 1.99301E-04, 1.50436E-04
203, 6.00810E-04, 3.10224E-04, 2.01721E-04, 1.49975E-04
204, 6.03763E-04, 3.09505E-04, 2.05763E-04, 1.49387E-04
205, 6.06094E-04, 3.08588E-04, 2.09595E-04, 1.48673E-04
206, 6.07784E-04, 3.07485E-04, 2.13211E-04, 1.47836E-04
207, 6.08814E-04, 3.06207E-04, 2.16605E-04, 1.46992E-04
208, 6.09167E-04, 3.04767E-04, 2.19771E-04, 1.46713E-04
209, 6.08829E-04, 3.03175E-04, 2.22704E-04, 1.46292E-04
210, 6.07789E-04, 3.01446E-04, 2.25400E-04, 1.45729E-04
211, 6.06037E-04, 2.99589E-04, 2.27856E-04, 1.45025E-04
212, 6.03566E-04, 2.97617E-04, 2.30070E-04, 1.44184E-04
213, 6.00371E-04, 2.95541E-04, 2.32039E-04, 1.43206E-04
214, 5.96451E-04, 2.94698E-04, 2.33764E-04, 1.42094E-04
215, 5.91806E-04, 2.94467E-04, 2.35245E-04, 1.40850E-04
216, 5.86439E-04, 2.94021E-04, 2.36481E-04, 1.39477E-04
217, 5.80356E-04, 2.93361E-04, 2.37474E-04, 1.37976E-04
218, 5.73565E-04, 2.92486E-04, 2.38844E-04, 1.37024E-04
219, 5.66076E-04, 2.91398E-04, 2.42862E-04, 1.36287E-04
220, 5.57902E-04, 2.90098E-04, 2.46632E-04, 1.35720E-04
221, 5.49057E-04, 2.89424E-04, 2.50147E-04, 1.35441E-04
222, 5.39560E-04, 2.90737E-04, 2.53400E-04, 1.35002E-04
223, 5.29427E-04, 2.91850E-04, 2.56386E-04, 1.34403E-04
224, 5.18681E-04, 2.92760E-04, 2.59101E-04, 1.33647E-04
225, 5.07344E-04, 2.93465E-04, 2.61542E-04, 1.32733E-04
226, 4.95444E-04, 2.93961E-04, 2.63705E-04, 1.31666E-04
227, 4.83001E-04, 2.94248E-04, 2.65589E-04, 1.30446E-04
228, 4.70042E-04, 2.95864E-04, 2.67193E-04, 1.29078E-04
229, 4.56596E-04, 2.97639E-04, 2.68518E-04, 1.27563E-04
230, 4.42690E-04, 2.99275E-04, 2.69563E-04, 1.25905E-04
231, 4.28354E-04, 3.00773E-04, 2.70331E-04, 1.24107E-04
232, 4.13618E-04, 3.02134E-04, 2.70823E-04, 1.22173E-04
233, 3.98512E-04, 3.03356E-04, 2.73708E-04, 1.20108E-04
234, 3.83068E-04, 3.04442E-04, 2.76805E-04, 1.18760E-04
235, 3.67317E-04, 3.05391E-04, 2.79667E-04, 1.18093E-04
236, 3.51289E-04, 3.06203E-04, 2.82287E-04, 1.17269E-04
237, 3.35016E-04, 3.06879E-04, 2.84659E-04, 1.17306E-04
238, 3.30548E-04, 3.07418E-04, 2.86779E-04, 1.17337E-04
239, 3.29936E-04, 3.07820E-04, 2.88641E-04, 1.17360E-04
240, 3.28744E-04, 3.08085E-04, 2.90243E-04, 1.17374E-04
241, 3.26988E-04, 3.08214E-04, 2.91582E-04, 1.17379E-04
242, 3.24685E-04, 3.08206E-04, 2.92655E-04, 1.17373E-04
243, 3.21854E-04, 3.08060E-04, 2.93994E-04, 1.17356E-04
244, 3.18515E-04, 3.07776E-04, 2.97155E-04, 1.17325E-04
245, 3.14691E-04, 3.07354E-04, 3.00127E-04, 1.17279E-04
246, 3.10403E-04, 3.06793E-04, 3.02906E-04, 1.17217E-04
247, 3.05674E-04, 3.06092E-04, 3.05483E-04, 1.17138E-04
248, 3.00530E-04, 3.05251E-04, 3.07855E-04, 1.17039E-04
249, 2.94995E-04, 3.04269E-04, 3.10016E-04, 1.16920E-04
250, 2.89093E-04, 3.03145E-04, 3.11960E-04, 1.16779E-04
251, 2.82851E-04, 3.01878E-04, 3.13684E-04, 1.16614E-04
252, 2.76293E-04, 3.00468E-04, 3.15183E-04, 1.16424E-04
253, 2.69446E-04, 2.99129E-04, 3.16453E-04, 1.16368E-04
254, 2.62334E-04, 2.97919E-04, 3.17492E-04, 1.17455E-04
255, 2.54982E-04, 2.96587E-04, 3.18297E-04, 1.18547E-04
256, 2.47415E-04, 2.95133E-04, 3.18867E-04, 1.19644E-04
257, 2.39658E-04, 2.93555E-04, 3.19199E-04, 1.20743E-04
258, 2.31734E-04, 2.91852E-04, 3.19293E-04, 1.21841E-04
259, 2.23666E-04, 2.90022E-04, 3.19148E-04, 1.22936E-04
260, 2.15477E-04, 2.88064E-04, 3.18766E-04, 1.24026E-04
261, 2.07187E-04, 2.85977E-04, 3.18146E-04, 1.25109E-04
262, 1.98819E-04, 2.83758E-04, 3.17291E-04, 1.26183E-04
263, 1.96680E-04, 2.81407E-04, 3.16202E-04, 1.27245E-04
264, 2.00486E-04, 2.78922E-04, 3.14882E-04, 1.28294E-04
265, 2.04582E-04, 2.76302E-04, 3.13333E-04, 1.29326E-04
266, 2.10735E-04, 2.73545E-04, 3.11560E-04, 1.30341E-04
267, 2.16803E-04, 2.70651E-04, 3.10281E-04, 1.31335E-04
268, 2.22782E-04, 2.67618E-04, 3.11048E-04, 1.32308E-04
269, 2.28668E-04, 2.64446E-04, 3.11650E-04, 1.33257E-04
270, 2.34459E-04, 2.61134E-04, 3.12086E-04, 1.34180E-04
271, 2.40152E-04, 2.57681E-04, 3.12356E-04, 1.35075E-04
272, 2.45743E-04, 2.54087E-04, 3.12460E-04, 1.35940E-04
273, 2.51231E-04, 2.50931E-04, 3.12397E-04, 1.36774E-04
274, 2.56612E-04, 2.48371E-04, 3.12167E-04, 1.37574E-04
275, 2.61885E-04, 2.45701E-04, 3.11772E-04, 1.38340E-04
276, 2.67048E-04, 2.44768E-04, 3.11210E-04, 1.39069E-04
277, 2.72099E-04, 2.46225E-04, 3.10484E-04, 1.39761E-04
278, 2.77036E-04, 2.47497E-04, 3.14191E-04, 1.40412E-04
279, 2.81857E-04, 2.48581E-04, 3.18576E-04, 1.41022E-04
280, 2.86562E-04, 2.49476E-04, 3.22760E-04, 1.41590E-04
281, 2.91805E-04, 2.50177E-04, 3.26745E-04, 1.42114E-04
282, 3.00362E-04, 2.50684E-04, 3.30530E-04, 1.42593E-04
283, 3.08641E-04, 2.50994E-04, 3.34114E-04, 1.43025E-04
284, 3.16647E-04, 2.51105E-04, 3.37498E-04, 1.43409E-04
285, 3.24382E-04, 2.51017E-04, 3.40683E-04, 1.43745E-04
286, 3.31851E-04, 2.50729E-04, 3.43668E-04, 1.44031E-04
287, 3.39057E-04, 2.50240E-04, 3.46454E-04, 1.44265E-04
288, 3.46001E-04, 2.49551E-04, 3.49043E-04, 1.44930E-04
289, 3.52686E-04, 2.48661E-04, 3.51436E-04, 1.45546E-04
290, 3.59116E-04, 2.47571E-04, 3.53633E-04, 1.46106E-04
291, 3.65293E-04, 2.46283E-04, 3.55636E-04, 1.46608E-04
292, 3.71221E-04, 2.45146E-04, 3.57447E-04, 1.47051E-04
293, 3.76901E-04, 2.43868E-04, 3.59067E-04, 1.47433E-04
294, 3.82337E-04, 2.42423E-04, 3.60498E-04, 1.47754E-04
295, 3.87531E-04, 2.40814E-04, 3.61742E-04, 1.48012E-04
296, 3.92486E-04, 2.39041E-04, 3.62801E-04, 1.48207E-04
297, 3.97203E-04, 2.37758E-04, 3.63677E-04, 1.48337E-04
298, 4.01685E-04, 2.38490E-04, 3.64371E-04, 1.48402E-04
299, 4.05934E-04, 2.39043E-04, 3.64887E-04, 1.48401E-04
300, 4.09952E-04, 2.39413E-04, 3.65227E-04, 1.48334E-04
301, 4.13741E-04, 2.39594E-04, 3.65393E-04, 1.48199E-04
302, 4.17303E-04, 2.39584E-04, 3.65388E-04, 1.47998E-04
303, 4.20639E-04, 2.39379E-04, 3.65213E-04, 1.47728E-04
304, 4.23751E-04, 2.38976E-04, 3.64873E-04, 1.47391E-04
305, 4.26640E-04, 2.38372E-04, 3.64369E-04, 1.46986E-04
306, 4.29308E-04, 2.37564E-04, 3.63705E-04, 1.46513E-04
307, 4.31756E-04, 2.36551E-04, 3.62882E-04, 1.45972E-04
308, 4.33986E-04, 2.35330E-04, 3.61905E-04, 1.45364E-04
309, 4.35998E-04, 2.33901E-04, 3.60776E-04, 1.44688E-04
310, 4.37795E-04, 2.32262E-04, 3.59498E-04, 1.43945E-04
311, 4.39377E-04, 2.30688E-04, 3.58073E-04, 1.43136E-04
312, 4.40746E-04, 2.29228E-04, 3.56506E-04, 1.42261E-04
313, 4.41904E-04, 2.27587E-04, 3.54799E-04, 1.41320E-04
314, 4.42850E-04, 2.25766E-04, 3.52954E-04, 1.40315E-04
315, 4.44291E-04, 2.23765E-04, 3.50977E-04, 1.39246E-04
316, 4.45798E-04, 2.21584E-04, 3.48868E-04, 1.38114E-04
317, 4.47045E-04, 2.19223E-04, 3.46633E-04, 1.37257E-04
318, 4.48034E-04, 2.16683E-04, 3.44273E-04, 1.36543E-04
319, 4.48767E-04, 2.13966E-04, 3.41793E-04, 1.35769E-04
320, 4.49249E-04, 2.12412E-04, 3.39195E-04, 1.34936E-04
321, 4.49482E-04, 2.16969E-04, 3.36482E-04, 1.34046E-04
322, 4.49471E-04, 2.21407E-04, 3.33659E-04, 1.33098E-04
323, 4.49219E-04, 2.25723E-04, 3.30728E-04, 1.32095E-04
324, 4.48730E-04, 2.29913E-04, 3.27692E-04, 1.31165E-04
325, 4.48009E-04, 2.33972E-04, 3.24555E-04, 1.31493E-04
326, 4.47060E-04, 2.37898E-04, 3.21321E-04, 1.31926E-04
327, 4.45889E-04, 2.41688E-04, 3.17992E-04, 1.32330E-04
328, 4.44501E-04, 2.45337E-04, 3.14572E-04, 1.32705E-04
329, 4.42900E-04, 2.48843E-04, 3.11064E-04, 1.33052E-04
330, 4.41093E-04, 2.52202E-04, 3.07472E-04, 1.33373E-04
331, 4.39084E-04, 2.55560E-04, 3.03799E-04, 1.33668E-04
332, 4.36880E-04, 2.60386E-04, 3.00048E-04, 1.33938E-04
333, 4.34486E-04, 2.65041E-04, 2.96223E-04, 1.34183E-04
334, 4.31907E-04, 2.69520E-04, 2.92327E-04, 1.34404E-04
335, 4.29150E-04, 2.73820E-04, 2.88363E-04, 1.34602E-04
336, 4.26221E-04, 2.77939E-04, 2.84334E-04, 1.34777E-04
337, 4.23125E-04, 2.81871E-04, 2.80245E-04, 1.35190E-04
338, 4.19868E-04, 2.85616E-04, 2.76098E-04, 1.35744E-04
339, 4.16457E-04, 2.89169E-04, 2.71897E-04, 1.36270E-04
340, 4.12897E-04, 2.92530E-04, 2.67644E-04, 1.36769E-04
341, 4.09195E-04, 2.95695E-04, 2.63344E-04, 1.37240E-04
342, 4.05355E-04, 2.98662E-04, 2.59000E-04, 1.37685E-04
343, 4.01385E-04, 3.01431E-04, 2.54614E-04, 1.38102E-04
344, 3.97289E-04, 3.04000E-04, 2.50190E-04, 1.38492E-04
345, 3.93074E-04, 3.06367E-04, 2.45732E-04, 1.38856E-04
346, 3.88744E-04, 3.08533E-04, 2.41243E-04, 1.39193E-04
347, 3.84307E-04, 3.10495E-04, 2.36725E-04, 1.39503E-04
348, 3.79767E-04, 3.12255E-04, 2.32183E-04, 1.39787E-04
349, 3.75129E-04, 3.13811E-04, 2.27619E-04, 1.40044E-04
350, 3.70400E-04, 3.15164E-04, 2.23037E-04, 1.40470E-04
351, 3.65583E-04, 3.16315E-04, 2.18440E-04, 1.41081E-04
352, 3.62881E-04, 3.17264E-04, 2.13831E-04, 1.41659E-04
353, 3.61088E-04, 3.18012E-04, 2.09213E-04, 1.42204E-04
354, 3.59199E-04, 3.18560E-04, 2.04589E-04, 1.42715E-04
355, 3.57217E-04, 3.19615E-04, 1.99963E-04, 1.43193E-04
356, 3.55139E-04, 3.20573E-04, 1.95337E-04, 1.43635E-04
357, 3.53612E-04, 3.21324E-04, 1.90716E-04, 1.44043E-04
358, 3.52883E-04, 3.21872E-04, 1.86102E-04, 1.44416E-04
359, 3.52042E-04, 3.22219E-04, 1.81497E-04, 1.44753E-04
360, 3.51088E-04, 3.22368E-04, 1.76905E-04, 1.45054E-04
361, 3.50020E-04, 3.22322E-04, 1.72329E-04, 1.45319E-04
362, 3.48836E-04, 3.22086E-04, 1.67772E-04, 1.45546E-04
363, 3.47534E-04, 3.21663E-04, 1.63237E-04, 1.45736E-04
364, 3.46114E-04, 3.21056E-04, 1.58726E-04, 1.45888E-04
365, 3.44574E-04, 3.20270E-04, 1.54243E-04, 1.46001E-04
