time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 7.27606E-04, 5.55522E-04, 5.59082E-04, 9.32789E-03
2, 5.40489E-04, 5.23425E-04, 3.35782E-04, 3.31243E-02
3, 4.28917E-04, 3.29353E-04, 3.32464E-04, 3.95614E-04
4, 7.59321E-05, 3.19109E-05, 2.81949E-05, 7.30148E-04
5, 6.87604E-05, 3.43875E-05, 2.80471E-05, 1.90119E-04
6, 7.15294E-05, 3.37330E-05, 2.76067E-05, 5.23316E-05
7, 7.37289E-05, 3.42211E-05, 2.69239E-05, 2.50784E-05
8, 7.48955E-05, 3.46007E-05, 2.68643E-05, 2.30810E-05
9, 7.57346E-05, 3.48278E-05, 2.66169E-05, 2.08460E-05
10, 7.59002E-05, 3.49229E-05, 2.61220E-05, 2.11442E-05
11, 7.80584E-05, 3.48810E-05, 2.53875E-05, 2.13040E-05
12, 8.05510E-05, 3.47019E-05, 2.52140E-05, 2.11269E-05
13, 8.24023E-05, 3.43876E-05, 2.51205E-05, 2.10082E-05
14, 8.35662E-05, 3.47543E-05, 2.48487E-05, 2.09206E-05
15, 8.40058E-05, 3.57680E-05, 2.47781E-05, 2.08123E-05
16, 8.36941E-05, 3.66557E-05, 2.46517E-05, 2.06932E-05
17, 8.58984E-05, 3.74118E-05, 2.49975E-05, 2.05689E-05
18, 8.76778E-05, 3.80316E-05, 2.57078E-05, 2.04372E-05
19, 8.88051E-05, 3.85108E-05, 2.63225E-05, 2.03174E-05
20, 8.92555E-05, 3.88463E-05, 2.68416E-05, 2.02484E-05
21, 9.18048E-05, 3.90361E-05, 2.85093E-05, 2.01690E-05
22, 9.47685E-05, 3.90793E-05, 3.01342E-05, 2.01162E-05
23, 9.70568E-05, 3.89761E-05, 3.16995E-05, 2.02350E-05
24, 9.86245E-05, 3.87281E-05, 3.31873E-05, 2.02739E-05
25, 9.94354E-05, 3.83377E-05, 3.45814E-05, 2.06062E-05
26, 9.94627E-05, 3.78087E-05, 3.58659E-05, 2.10232E-05
27, 9.86902E-05, 3.71458E-05, 3.70260E-05, 2.13564E-05
28, 9.71119E-05, 3.65872E-05, 3.80476E-05, 2.16026E-05
29, 9.86079E-05, 3.66283E-05, 3.89180E-05, 2.17596E-05
30, 1.00500E-04, 3.73773E-05, 3.96258E-05, 2.18266E-05
31, 1.03504E-04, 3.79861E-05, 4.01612E-05, 2.18034E-05
32, 1.08312E-04, 3.84515E-05, 4.05159E-05, 2.16912E-05
33, 1.12499E-04, 3.87703E-05, 4.06836E-05, 2.14921E-05
34, 1.16006E-04, 3.89413E-05, 4.06595E-05, 2.12089E-05
35, 1.18781E-04, 3.89646E-05, 4.04410E-05, 2.08455E-05
36, 1.20779E-04, 3.88412E-05, 4.19894E-05, 2.04065E-05
37, 1.21966E-04, 3.93499E-05, 4.37041E-05, 1.98971E-05
38, 1.22313E-04, 4.02323E-05, 4.52457E-05, 1.93230E-05
39, 1.21802E-04, 4.10362E-05, 4.65980E-05, 1.90780E-05
40, 1.23231E-04, 4.17574E-05, 4.77465E-05, 1.88624E-05
41, 1.26082E-04, 4.23915E-05, 4.86788E-05, 1.85842E-05
42, 1.28134E-04, 4.29346E-05, 4.93845E-05, 1.82496E-05
43, 1.29344E-04, 4.35825E-05, 4.98555E-05, 1.78652E-05
44, 1.29680E-04, 4.42743E-05, 5.00858E-05, 1.74381E-05
45, 1.29119E-04, 4.48801E-05, 5.00718E-05, 1.69755E-05
46, 1.27647E-04, 4.53955E-05, 4.98124E-05, 1.64842E-05
47, 1.25261E-04, 4.58164E-05, 4.93084E-05, 1.59707E-05
48, 1.21968E-04, 4.61390E-05, 4.85632E-05, 1.54412E-05
49, 1.18151E-04, 4.63596E-05, 4.75822E-05, 1.51195E-05
50, 1.18113E-04, 4.64749E-05, 4.79308E-05, 1.48420E-05
51, 1.17232E-04, 4.64822E-05, 4.93679E-05, 1.47334E-05
52, 1.15491E-04, 4.63789E-05, 5.05424E-05, 1.48467E-05
53, 1.15464E-04, 4.61871E-05, 5.14431E-05, 1.49927E-05
54, 1.19608E-04, 4.63244E-05, 5.20615E-05, 1.51650E-05
55, 1.23134E-04, 4.63585E-05, 5.23917E-05, 1.52995E-05
56, 1.26019E-04, 4.77349E-05, 5.24307E-05, 1.53944E-05
57, 1.28245E-04, 4.97981E-05, 5.21779E-05, 1.54480E-05
58, 1.29802E-04, 5.18157E-05, 5.16356E-05, 1.54585E-05
59, 1.30685E-04, 5.37783E-05, 5.08088E-05, 1.54241E-05
60, 1.30895E-04, 5.56769E-05, 5.13850E-05, 1.53428E-05
61, 1.32328E-04, 5.75017E-05, 5.39892E-05, 1.56664E-05
62, 1.35777E-04, 5.92433E-05, 5.63179E-05, 1.60474E-05
63, 1.38545E-04, 6.08917E-05, 5.83521E-05, 1.63733E-05
64, 1.40616E-04, 6.24373E-05, 6.00754E-05, 1.66373E-05
65, 1.41981E-04, 6.38702E-05, 6.14740E-05, 1.68330E-05
66, 1.42634E-04, 6.51806E-05, 6.25373E-05, 1.69545E-05
67, 1.42579E-04, 6.63592E-05, 6.32573E-05, 1.69968E-05
68, 1.41824E-04, 6.73965E-05, 6.36292E-05, 1.69560E-05
69, 1.40386E-04, 6.82837E-05, 6.36510E-05, 1.68291E-05
70, 1.38285E-04, 6.90123E-05, 6.33238E-05, 1.66140E-05
71, 1.36724E-04, 6.95745E-05, 6.26515E-05, 1.63102E-05
72, 1.37129E-04, 6.99631E-05, 6.16404E-05, 1.59846E-05
73, 1.36819E-04, 7.01750E-05, 6.02999E-05, 1.56028E-05
74, 1.35797E-04, 7.02028E-05, 5.86417E-05, 1.51264E-05
75, 1.34073E-04, 7.00406E-05, 5.66796E-05, 1.45601E-05
76, 1.35004E-04, 6.96848E-05, 5.44298E-05, 1.39097E-05
77, 1.38487E-04, 6.91330E-05, 5.19103E-05, 1.31822E-05
78, 1.41427E-04, 6.83839E-05, 4.91411E-05, 1.23853E-05
79, 1.43801E-04, 6.74377E-05, 4.61433E-05, 1.15279E-05
80, 1.45593E-04, 6.62956E-05, 4.75242E-05, 1.15475E-05
81, 1.46788E-04, 6.49603E-05, 4.91726E-05, 1.15028E-05
82, 1.47379E-04, 6.34355E-05, 5.05588E-05, 1.13961E-05
83, 1.47361E-04, 6.17267E-05, 5.16777E-05, 1.12331E-05
84, 1.46736E-04, 5.98400E-05, 5.25264E-05, 1.10197E-05
85, 1.45509E-04, 5.77831E-05, 5.31046E-05, 1.07621E-05
86, 1.43689E-04, 5.55647E-05, 5.34138E-05, 1.04664E-05
87, 1.41290E-04, 5.31944E-05, 5.34574E-05, 1.01388E-05
88, 1.38330E-04, 5.06828E-05, 5.32408E-05, 9.78512E-06
89, 1.34830E-04, 4.80413E-05, 5.27713E-05, 9.41080E-06
90, 1.31365E-04, 4.52821E-05, 5.20577E-05, 9.02090E-06
91, 1.29060E-04, 4.42595E-05, 5.11103E-05, 8.61997E-06
92, 1.31344E-04, 4.49128E-05, 4.99408E-05, 8.21197E-06
93, 1.35521E-04, 4.54177E-05, 4.85623E-05, 8.17982E-06
94, 1.39034E-04, 4.57726E-05, 4.69887E-05, 8.43355E-06
95, 1.41875E-04, 4.59768E-05, 4.52350E-05, 8.61869E-06
96, 1.44038E-04, 4.60303E-05, 4.33170E-05, 8.73720E-06
97, 1.45523E-04, 4.59343E-05, 4.12510E-05, 8.79168E-06
98, 1.46336E-04, 4.56904E-05, 3.90538E-05, 8.78530E-06
99, 1.46485E-04, 4.53013E-05, 3.67427E-05, 8.72173E-06
100, 1.45982E-04, 4.47705E-05, 3.43348E-05, 8.60505E-06
101, 1.44844E-04, 4.41045E-05, 3.38171E-05, 8.43962E-06
102, 1.43091E-04, 4.33068E-05, 3.31520E-05, 8.23006E-06
103, 1.40745E-04, 4.23814E-05, 3.23015E-05, 7.98111E-06
104, 1.37833E-04, 4.13345E-05, 3.37108E-05, 7.69758E-06
105, 1.34385E-04, 4.01725E-05, 3.48787E-05, 7.65840E-06
106, 1.30431E-04, 3.89025E-05, 3.58061E-05, 7.80995E-06
107, 1.26006E-04, 3.75319E-05, 3.64950E-05, 7.92481E-06
108, 1.21145E-04, 3.60684E-05, 3.69495E-05, 8.00514E-06
109, 1.15887E-04, 3.45202E-05, 3.71749E-05, 8.05305E-06
110, 1.10269E-04, 3.28956E-05, 3.71780E-05, 8.07056E-06
111, 1.04333E-04, 3.12031E-05, 3.69669E-05, 8.05961E-06
112, 9.81189E-05, 2.94516E-05, 3.65508E-05, 8.02205E-06
113, 9.16681E-05, 2.76496E-05, 3.59403E-05, 7.95963E-06
114, 8.51709E-05, 2.62737E-05, 3.51467E-05, 7.87401E-06
115, 8.48581E-05, 2.62128E-05, 3.41823E-05, 7.76676E-06
116, 8.41652E-05, 2.72703E-05, 3.30601E-05, 7.63938E-06
117, 8.31062E-05, 2.89147E-05, 3.17938E-05, 7.49329E-06
118, 8.16971E-05, 3.04310E-05, 3.11935E-05, 7.32987E-06
119, 7.99560E-05, 3.18191E-05, 3.16855E-05, 7.15044E-06
120, 7.79024E-05, 3.30799E-05, 3.19831E-05, 6.95630E-06
121, 7.55573E-05, 3.42144E-05, 3.20910E-05, 6.74871E-06
122, 7.29429E-05, 3.52244E-05, 3.20149E-05, 6.52893E-06
123, 7.00828E-05, 3.61119E-05, 3.17616E-05, 6.29821E-06
124, 6.72610E-05, 3.68794E-05, 3.13392E-05, 6.05778E-06
125, 6.92614E-05, 3.75297E-05, 3.07564E-05, 5.80890E-06
126, 7.09209E-05, 3.80661E-05, 3.00232E-05, 5.55280E-06
127, 7.22474E-05, 3.84919E-05, 2.91498E-05, 5.29075E-06
128, 7.32506E-05, 3.88110E-05, 2.81474E-05, 5.02401E-06
129, 7.39412E-05, 3.90273E-05, 2.70277E-05, 4.79274E-06
130, 7.43315E-05, 3.91450E-05, 2.58025E-05, 4.80197E-06
131, 7.44348E-05, 3.91687E-05, 2.44844E-05, 4.80912E-06
132, 7.42652E-05, 3.91032E-05, 2.30856E-05, 4.81382E-06
133, 7.38380E-05, 3.89527E-05, 2.16190E-05, 4.81577E-06
134, 7.31691E-05, 3.87218E-05, 2.01291E-05, 4.81474E-06
135, 7.22748E-05, 3.84152E-05, 2.07647E-05, 4.81054E-06
136, 7.11722E-05, 3.80379E-05, 2.12780E-05, 4.80309E-06
137, 6.98786E-05, 3.75946E-05, 2.16710E-05, 4.79232E-06
138, 6.84128E-05, 3.70902E-05, 2.19461E-05, 4.78178E-06
139, 6.67912E-05, 3.65295E-05, 2.21075E-05, 4.77024E-06
140, 6.50313E-05, 3.59172E-05, 2.21582E-05, 4.76862E-06
141, 6.31506E-05, 3.52579E-05, 2.21027E-05, 4.76451E-06
142, 6.11664E-05, 3.45564E-05, 2.19459E-05, 4.75739E-06
143, 5.90956E-05, 3.38170E-05, 2.16933E-05, 4.74741E-06
144, 5.69549E-05, 3.30442E-05, 2.13508E-05, 4.73473E-06
145, 5.47601E-05, 3.22421E-05, 2.09247E-05, 4.71954E-06
146, 5.25267E-05, 3.14149E-05, 2.04214E-05, 4.73522E-06
147, 5.02694E-05, 3.05664E-05, 1.98477E-05, 4.77777E-06
148, 4.80023E-05, 2.97005E-05, 1.92106E-05, 4.81606E-06
149, 4.60114E-05, 2.88206E-05, 1.85172E-05, 4.84991E-06
